GeoFIPS,GeoName,Description,Unit,2018,2019,2020,2021,2022
" ""00000""",United States,Personal income (thousands of dollars) ,Thousands of dollars,17514402000,18343601000,19609985000,21392812000,21820248000
" ""00000""",United States,Population (persons) 1/,Number of persons,328542157,330233102,331511512,332031554,333287557
" ""00000""",United States,Per capita personal income (dollars) 2/,Dollars,53309,55547,59153,64430,65470
" ""01000""",Alabama,Personal income (thousands of dollars) ,Thousands of dollars,205674190,215165840,230872566,252791890,258362172
" ""01000""",Alabama,Population (persons) 1/,Number of persons,4976395,5003418,5031362,5049846,5074296
" ""01000""",Alabama,Per capita personal income (dollars) 2/,Dollars,41330,43004,45887,50059,50916
" ""01001""","Autauga, AL",Personal income (thousands of dollars) ,Thousands of dollars,2371211,2478336,2659457,2896204,2951555
" ""01001""","Autauga, AL",Population (persons) 1/,Number of persons,57728,58245,58902,59210,59759
" ""01001""","Autauga, AL",Per capita personal income (dollars) 2/,Dollars,41076,42550,45151,48914,49391
" ""01003""","Baldwin, AL",Personal income (thousands of dollars) ,Thousands of dollars,10139295,10879470,11947762,13371784,13984484
" ""01003""","Baldwin, AL",Population (persons) 1/,Number of persons,221132,227079,233219,239361,246435
" ""01003""","Baldwin, AL",Per capita personal income (dollars) 2/,Dollars,45852,47911,51230,55865,56747
" ""01005""","Barbour, AL",Personal income (thousands of dollars) ,Thousands of dollars,842907,874243,926302,1001067,1002082
" ""01005""","Barbour, AL",Population (persons) 1/,Number of persons,25380,25205,24960,24539,24706
" ""01005""","Barbour, AL",Per capita personal income (dollars) 2/,Dollars,33211,34685,37111,40795,40560
" ""01007""","Bibb, AL",Personal income (thousands of dollars) ,Thousands of dollars,672223,719297,775032,831602,825481
" ""01007""","Bibb, AL",Population (persons) 1/,Number of persons,22383,22405,22183,22370,22005
" ""01007""","Bibb, AL",Per capita personal income (dollars) 2/,Dollars,30033,32104,34938,37175,37513
" ""01009""","Blount, AL",Personal income (thousands of dollars) ,Thousands of dollars,2072951,2155516,2253760,2531922,2603321
" ""01009""","Blount, AL",Population (persons) 1/,Number of persons,58765,58956,59102,59085,59512
" ""01009""","Blount, AL",Per capita personal income (dollars) 2/,Dollars,35275,36561,38133,42852,43744
" ""01011""","Bullock, AL",Personal income (thousands of dollars) ,Thousands of dollars,272084,283578,313972,338240,320278
" ""01011""","Bullock, AL",Population (persons) 1/,Number of persons,10443,10455,10296,10280,10202
" ""01011""","Bullock, AL",Per capita personal income (dollars) 2/,Dollars,26054,27124,30495,32903,31394
" ""01013""","Butler, AL",Personal income (thousands of dollars) ,Thousands of dollars,704744,719999,752367,852499,874977
" ""01013""","Butler, AL",Population (persons) 1/,Number of persons,19312,19097,19031,18855,18650
" ""01013""","Butler, AL",Per capita personal income (dollars) 2/,Dollars,36493,37702,39534,45213,46916
" ""01015""","Calhoun, AL",Personal income (thousands of dollars) ,Thousands of dollars,4154359,4287240,4601998,4979361,4924818
" ""01015""","Calhoun, AL",Population (persons) 1/,Number of persons,116622,116669,116239,115677,115788
" ""01015""","Calhoun, AL",Per capita personal income (dollars) 2/,Dollars,35622,36747,39591,43045,42533
" ""01017""","Chambers, AL",Personal income (thousands of dollars) ,Thousands of dollars,1139957,1171074,1255880,1340950,1325192
" ""01017""","Chambers, AL",Population (persons) 1/,Number of persons,35071,34914,34645,34446,34088
" ""01017""","Chambers, AL",Per capita personal income (dollars) 2/,Dollars,32504,33542,36250,38929,38876
" ""01019""","Cherokee, AL",Personal income (thousands of dollars) ,Thousands of dollars,925082,948093,998154,1116709,1135638
" ""01019""","Cherokee, AL",Population (persons) 1/,Number of persons,24978,25061,24972,25026,25302
" ""01019""","Cherokee, AL",Per capita personal income (dollars) 2/,Dollars,37036,37831,39971,44622,44883
" ""01021""","Chilton, AL",Personal income (thousands of dollars) ,Thousands of dollars,1536627,1624795,1735895,1901425,1937737
" ""01021""","Chilton, AL",Population (persons) 1/,Number of persons,44608,44902,45051,45259,45884
" ""01021""","Chilton, AL",Per capita personal income (dollars) 2/,Dollars,34447,36185,38532,42012,42231
" ""01023""","Choctaw, AL",Personal income (thousands of dollars) ,Thousands of dollars,488690,490747,511455,543231,577667
" ""01023""","Choctaw, AL",Population (persons) 1/,Number of persons,12984,12768,12619,12549,12439
" ""01023""","Choctaw, AL",Per capita personal income (dollars) 2/,Dollars,37638,38436,40531,43289,46440
" ""01025""","Clarke, AL",Personal income (thousands of dollars) ,Thousands of dollars,847451,879347,947607,1017276,1017200
" ""01025""","Clarke, AL",Population (persons) 1/,Number of persons,23733,23393,22981,22715,22515
" ""01025""","Clarke, AL",Per capita personal income (dollars) 2/,Dollars,35708,37590,41234,44784,45179
" ""01027""","Clay, AL",Personal income (thousands of dollars) ,Thousands of dollars,440623,456483,498363,550148,566161
" ""01027""","Clay, AL",Population (persons) 1/,Number of persons,14184,14256,14211,14190,14198
" ""01027""","Clay, AL",Per capita personal income (dollars) 2/,Dollars,31065,32020,35069,38770,39876
" ""01029""","Cleburne, AL",Personal income (thousands of dollars) ,Thousands of dollars,535688,541507,571310,647993,678830
" ""01029""","Cleburne, AL",Population (persons) 1/,Number of persons,15110,15021,15063,15148,15346
" ""01029""","Cleburne, AL",Per capita personal income (dollars) 2/,Dollars,35453,36050,37928,42777,44235
" ""01031""","Coffee, AL",Personal income (thousands of dollars) ,Thousands of dollars,2179891,2266016,2411713,2710078,2780219
" ""01031""","Coffee, AL",Population (persons) 1/,Number of persons,52389,52968,53547,54171,54805
" ""01031""","Coffee, AL",Per capita personal income (dollars) 2/,Dollars,41610,42781,45039,50028,50729
" ""01033""","Colbert, AL",Personal income (thousands of dollars) ,Thousands of dollars,2054230,2143825,2294959,2522700,2557002
" ""01033""","Colbert, AL",Population (persons) 1/,Number of persons,56452,56912,57299,57619,58033
" ""01033""","Colbert, AL",Per capita personal income (dollars) 2/,Dollars,36389,37669,40052,43782,44061
" ""01035""","Conecuh, AL",Personal income (thousands of dollars) ,Thousands of dollars,397026,401714,428621,458091,452451
" ""01035""","Conecuh, AL",Population (persons) 1/,Number of persons,12020,11787,11553,11320,11206
" ""01035""","Conecuh, AL",Per capita personal income (dollars) 2/,Dollars,33030,34081,37100,40467,40376
" ""01037""","Coosa, AL",Personal income (thousands of dollars) ,Thousands of dollars,331672,348096,372279,399089,402750
" ""01037""","Coosa, AL",Population (persons) 1/,Number of persons,10409,10441,10341,10366,10166
" ""01037""","Coosa, AL",Per capita personal income (dollars) 2/,Dollars,31864,33339,36000,38500,39617
" ""01039""","Covington, AL",Personal income (thousands of dollars) ,Thousands of dollars,1309008,1332625,1422508,1564704,1562086
" ""01039""","Covington, AL",Population (persons) 1/,Number of persons,37447,37591,37507,37542,37602
" ""01039""","Covington, AL",Per capita personal income (dollars) 2/,Dollars,34956,35451,37926,41679,41543
