name,city,stabbr,basic2021,enrprofile2021,sector,control,hbcu,hsi,msi,womens,selindex,rooms,ugtenr20,tribal
Alabama A & M University,Normal,AL,4,4,1,1,1,0,1,0,1.0,3220,5093,0
University of Alabama at Birmingham,Birmingham,AL,2,5,1,1,0,0,0,0,2.0,2882,13878,0
Amridge University,Montgomery,AL,4,6,2,2,0,0,0,0,1.0,0,298,0
University of Alabama in Huntsville,Huntsville,AL,2,4,1,1,0,0,0,0,3.0,2200,8027,0
Alabama State University,Montgomery,AL,3,3,1,1,1,0,1,0,1.0,2079,3614,0
The University of Alabama,Tuscaloosa,AL,2,4,1,1,0,0,0,0,2.0,8443,31670,0
Central Alabama Community College,Alexander City,AL,0,1,4,1,0,0,0,0,,0,1546,0
Athens State University,Athens,AL,5,3,1,1,0,0,0,0,0.0,0,2688,0
Auburn University at Montgomery,Montgomery,AL,4,4,1,1,0,0,0,0,1.0,1200,4375,0
Auburn University,Auburn,AL,2,4,1,1,0,0,0,0,3.0,4823,24505,0
Birmingham-Southern College,Birmingham,AL,5,2,2,2,0,0,0,0,2.0,1599,1129,0
Chattahoochee Valley Community College,Phenix City,AL,0,1,4,1,0,0,0,0,,0,1399,0
South University-Montgomery,Montgomery,AL,5,4,3,3,0,0,0,0,1.0,0,289,0
Enterprise State Community College,Enterprise,AL,0,1,4,1,0,0,0,0,,0,1808,0
Coastal Alabama Community College,Bay Minette,AL,0,1,4,1,0,0,0,0,,593,6653,0
Faulkner University,Montgomery,AL,4,5,2,2,0,0,0,0,1.0,704,2098,0
Gadsden State Community College,Gadsden,AL,0,1,4,1,1,0,1,0,,110,3993,0
George C Wallace Community College-Dothan,Dothan,AL,0,1,4,1,0,0,0,0,,0,3681,0
George C Wallace State Community College-Hanceville,Hanceville,AL,0,1,4,1,0,0,0,0,,180,4763,0
George C Wallace State Community College-Selma,Selma,AL,0,1,4,1,0,0,0,0,,0,1316,0
Herzing University-Birmingham,Birmingham,AL,1,3,2,2,0,0,0,0,0.0,0,612,0
Huntingdon College,Montgomery,AL,5,2,2,2,0,0,0,0,1.0,712,920,0
Heritage Christian University,Florence,AL,1,5,2,2,0,0,0,0,0.0,35,70,0
J. F. Drake State Community and Technical College,Huntsville,AL,0,1,4,1,1,0,1,0,,0,825,0
Jacksonville State University,Jacksonville,AL,4,4,1,1,0,0,0,0,1.0,2512,7747,0
Jefferson State Community College,Birmingham,AL,0,1,4,1,0,0,0,0,,0,8526,0
John C Calhoun State Community College,Tanner,AL,0,1,4,1,0,0,0,0,,0,8278,0
Lawson State Community College,Birmingham,AL,0,1,4,1,1,0,1,0,,168,2823,0
