,County,State_Abbreviation,Income,Population
0,Autauga,AL,53079,60342
1,Baldwin,AL,60969,253507
2,Barbour,AL,41531,24585
3,Bibb,AL,39835,21868
4,Blount,AL,45021,59816
5,Bullock,AL,36061,9897
6,Butler,AL,49192,18382
7,Calhoun,AL,44737,116429
8,Chambers,AL,40735,34079
9,Cherokee,AL,45099,25666
10,Chilton,AL,46120,46431
11,Choctaw,AL,49356,12252
12,Clarke,AL,47362,22337
13,Clay,AL,39082,14111
14,Cleburne,AL,44266,15639
15,Coffee,AL,53573,55643
16,Colbert,AL,47137,58361
17,Conecuh,AL,42999,11174
18,Coosa,AL,40420,10268
19,Covington,AL,43081,37952
20,Crenshaw,AL,47732,13101
21,Cullman,AL,50812,92016
22,Dale,AL,45756,49871
23,Dallas,AL,45618,36165
24,DeKalb,AL,41750,72569
25,Elmore,AL,51950,90441
26,Escambia,AL,42089,36558
27,Etowah,AL,45062,103241
28,Fayette,AL,42346,15967
29,Franklin,AL,42272,31802
30,Geneva,AL,43566,26988
31,Greene,AL,39811,7341
32,Hale,AL,46181,14888
33,Henry,AL,53701,17899
34,Houston,AL,54541,108462
35,Jackson,AL,45322,53467
36,Jefferson,AL,71275,662895
37,Lamar,AL,41514,13661
38,Lauderdale,AL,47168,96814
39,Lawrence,AL,44413,33502
40,Lee,AL,48511,183215
41,Limestone,AL,57194,114654
42,Lowndes,AL,52211,9717
43,Macon,AL,41172,18370
44,Madison,AL,66005,412600
45,Marengo,AL,50216,18684
46,Marion,AL,45211,29244
47,Marshall,AL,48602,100756
48,Mobile,AL,50513,411640
49,Monroe,AL,43607,19229
50,Montgomery,AL,53891,224980
51,Morgan,AL,49630,125133
52,Perry,AL,43279,7738
53,Pickens,AL,42292,18688
54,Pike,AL,49237,33137
55,Randolph,AL,42104,22786
56,Russell,AL,41186,58744
57,St. Clair,AL,50493,95552
58,Shelby,AL,71565,233000
59,Sumter,AL,41168,11727
60,Talladega,AL,43284,81132
61,Tallapoosa,AL,51662,40677
62,Tuscaloosa,AL,44456,237373
63,Walker,AL,51485,64728
64,Washington,AL,46859,15022
65,Wilcox,AL,41486,9944
66,Winston,AL,44873,23611
