SCHOOL_DSTRCT_NM,TEST_CMPNT_TYP_NM,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER,Year,Pass Rate,County
Appling County,ALL Subjects,92.0,37.0,2019,0.40217391304347827,Appling
Appling County,Biology,12.0,7.0,2019,0.5833333333333334,Appling
Appling County,Eng. Literature & Comp,10.0,3.0,2019,0.3,Appling
Appling County,Geography: Human,30.0,7.0,2019,0.23333333333333334,Appling
Appling County,Psychology,23.0,13.0,2019,0.5652173913043478,Appling
Atkinson County,ALL Subjects,37.0,8.0,2019,0.21621621621621623,Atkinson
Atkinson County,Biology,17.0,6.0,2019,0.35294117647058826,Atkinson
Atkinson County,Eng. Literature & Comp,20.0,2.0,2019,0.1,Atkinson
Baldwin County,ALL Subjects,46.0,13.0,2019,0.2826086956521739,Baldwin
Baldwin County,Environmental Science,15.0,3.0,2019,0.2,Baldwin
Baldwin County,World History,13.0,5.0,2019,0.38461538461538464,Baldwin
Banks County,ALL Subjects,37.0,16.0,2019,0.43243243243243246,Banks
Banks County,Eng. Literature & Comp,12.0,1.0,2019,0.08333333333333333,Banks
Banks County,World History,11.0,6.0,2019,0.5454545454545454,Banks
Barrow County,ALL Subjects,757.0,355.0,2019,0.46895640686922063,Barrow
Barrow County,Biology,33.0,15.0,2019,0.45454545454545453,Barrow
Barrow County,Calculus A,29.0,18.0,2019,0.6206896551724138,Barrow
Barrow County,Capstone,13.0,11.0,2019,0.8461538461538461,Barrow
Barrow County,Capstone Research,15.0,15.0,2019,1.0,Barrow
Barrow County,Chemistry,25.0,11.0,2019,0.44,Barrow
Barrow County,Economics: Micro,100.0,39.0,2019,0.39,Barrow
Barrow County,Eng. Language & Comp,131.0,42.0,2019,0.32061068702290074,Barrow
Barrow County,Eng. Literature & Comp,63.0,25.0,2019,0.3968253968253968,Barrow
Barrow County,Environmental Science,14.0,3.0,2019,0.21428571428571427,Barrow
Barrow County,Gov. & Pol. U.S.,57.0,39.0,2019,0.6842105263157895,Barrow
Barrow County,Physics 1,21.0,12.0,2019,0.5714285714285714,Barrow
Barrow County,Psychology,52.0,12.0,2019,0.23076923076923078,Barrow
