"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2021-22","601","Appling County","0103","Appling County High School","ALL Subjects","84","88","17"
"2021-22","601","Appling County","0103","Appling County High School","Computer Science Principles","TFS","TFS","TFS"
"2021-22","601","Appling County","0103","Appling County High School","Eng. Language & Comp","42","42","7"
"2021-22","601","Appling County","0103","Appling County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","601","Appling County","0103","Appling County High School","Geography: Human","TFS","TFS","TFS"
"2021-22","601","Appling County","0103","Appling County High School","Psychology","26","26","2"
"2021-22","601","Appling County","0103","Appling County High School","Statistics","TFS","TFS","TFS"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","84","88","17"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Computer Science Principles","TFS","TFS","TFS"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","42","42","7"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human","TFS","TFS","TFS"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Psychology","26","26","2"
"2021-22","601","Appling County","SCHOOL_ALL","SCHOOL_ALL","Statistics","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","ALL Subjects","125","210","41"
"2021-22","605","Baldwin County","0189","Baldwin High School","Biology","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Calculus A","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Economics: Macro","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Economics: Micro","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Eng. Language & Comp","39","39","2"
"2021-22","605","Baldwin County","0189","Baldwin High School","Eng. Literature & Comp","46","46","14"
"2021-22","605","Baldwin County","0189","Baldwin High School","Environmental Science","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Geography: Human","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","Psychology","TFS","TFS","TFS"
"2021-22","605","Baldwin County","0189","Baldwin High School","U.S. History","36","36","5"
"2021-22","605","Baldwin County","0189","Baldwin High School","World History","50","50","7"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","125","210","41"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Biology","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Calculus A","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Economics: Macro","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","39","39","2"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","46","46","14"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","Psychology","TFS","TFS","TFS"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","U.S. History","36","36","5"
"2021-22","605","Baldwin County","SCHOOL_ALL","SCHOOL_ALL","World History","50","50","7"
"2021-22","606","Banks County","0199","Banks County High School","ALL Subjects","23","25","14"
"2021-22","606","Banks County","0199","Banks County High School","Eng. Language & Comp","10","10","3"
"2021-22","606","Banks County","0199","Banks County High School","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","606","Banks County","0199","Banks County High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","606","Banks County","0199","Banks County High School","World History","TFS","TFS","TFS"
"2021-22","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects","23","25","14"
"2021-22","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp","10","10","3"
"2021-22","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp","TFS","TFS","TFS"
"2021-22","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","606","Banks County","SCHOOL_ALL","SCHOOL_ALL","World History","TFS","TFS","TFS"
"2021-22","607","Barrow County","0101","Apalachee High School","ALL Subjects","120","195","98"
"2021-22","607","Barrow County","0101","Apalachee High School","Biology","31","31","21"
"2021-22","607","Barrow County","0101","Apalachee High School","Capstone","16","16","15"
"2021-22","607","Barrow County","0101","Apalachee High School","Chemistry","14","14",""
"2021-22","607","Barrow County","0101","Apalachee High School","Computer Science Principles","14","14","5"
"2021-22","607","Barrow County","0101","Apalachee High School","Economics: Micro","TFS","TFS","TFS"
"2021-22","607","Barrow County","0101","Apalachee High School","Eng. Literature & Comp","12","12","9"
"2021-22","607","Barrow County","0101","Apalachee High School","Environmental Science","TFS","TFS","TFS"
"2021-22","607","Barrow County","0101","Apalachee High School","Geography: Human","23","23","12"
"2021-22","607","Barrow County","0101","Apalachee High School","Gov. & Pol. U.S.","TFS","TFS","TFS"
"2021-22","607","Barrow County","0101","Apalachee High School","Physics 1","16","16","1"
"2021-22","607","Barrow County","0101","Apalachee High School","Psychology","TFS","TFS","TFS"
"2021-22","607","Barrow County","0101","Apalachee High School","Spanish Language","TFS","TFS","TFS"
"2021-22","607","Barrow County","0101","Apalachee High School","Statistics","12","12","8"
