District Name,District Code,Year,Tests Taken,% Score 3-5,Population,Median Household Income,Total Expenditures per Pupil,Shortest Distance to R1R2,Number of Annual Enrollment R1R2,Number of Dorm Beds R1R2,Shortest Distance to Public,Number of Annual Enrollment Public,Number of Dorm Beds Public,Shortest Distance to Private,Number of Annual Enrollment Private,Number of Dorm Beds Private,Shortest Distance to Land Grant,Number of Annual Enrollment Land Grant,Number of Dorm Beds Land Grant,Shortest Distance to STEM,Number of Annual Enrollment STEM,Number of Dorm Beds STEM
Abington,10000,2018,     137,53.3,17003,120535,14527.1,85.87157993959028,119854,35215,53.14263521690657,49951,4381,54.80741799333926,8814,4318,282.041583499727,95123,38339,85.87157993959028,119854,35215
Agawam,50000,2018,     463,58.1,28606,80809,16747.21,197.3815611995308,92043,35371,50.18457362657615,27240,2492,31.19337464769584,13378,4361,322.184405606028,114903,45492,192.8906880153437,78411,29795
Amesbury,70000,2018,     149,79.9,17279,91010,16455.64,129.1221314597266,108676,36275,78.14360224573295,37666,6862,78.35341132509865,19001,6937,259.3124385768745,109796,45744,129.1221314597266,108676,36275
Andover,90000,2018,     960,80.2,36389,162694,17985.83,87.62108926372431,95272,31466,66.05443934622144,62268,7069,43.09602276511469,17169,5810,245.1677019468132,109796,45744,87.62108926372431,95272,31466
Arlington,100000,2018,"   1,042",80.1,45906,136312,14594.15,22.44452606449654,125226,41891,37.68145575424204,47078,1996,15.51902482726976,56076,16038,244.1533516978652,101086,40314,22.44452606449654,125226,41891
Ashland,140000,2018,     340,95.0,18634,124311,14469.6,85.31430010935335,76486,24852,66.10448499138599,34879,3549,52.71457865315563,19170,6615,245.8247910245692,114903,45492,80.16722544736672,35717,14301
Attleboro,160000,2018,     611,47.0,46384,91378,13659.15,122.7698438945703,62310,20557,82.54134221853194,60291,4393,44.81896528950047,25256,11775,268.7048772234529,114903,45492,122.7698438945703,62310,20557
Auburn,170000,2018,     459,42.7,16849,101931,13463.61,112.5721795878631,58562,23633,72.29809811860711,29960,3549,35.03598786544963,13830,8468,243.0750706981192,114903,45492,86.7255518320618,49033,18730
Avon,180000,2018,      39,56.4,4730,125000,16722.85,79.7040245418167,119854,35215,51.93539992075107,49951,4381,44.78872704204166,8814,4318,274.1716067316567,95123,38339,79.7040245418167,119854,35215
Barnstable,200000,2018,     782,55.2,48922,94387,15762.45,283.6819953937425,81603,25972,145.9841753407831,38745,8935,256.5823220943087,16117,8406,447.3255052011777,95123,38339,283.6819953937425,81603,25972
Bedford,230000,2018,     317,91.2,14273,143736,18903.22,54.03661645546612,99579,33112,66.20271068596247,50163,5706,46.05044609087551,20378,7925,241.646869452193,109796,45744,54.03661645546612,99579,33112
Belchertown,240000,2018,      88,86.4,15304,99365,13575.36,162.0200812071008,83536,32745,82.19739507171545,58480,16507,50.49086065448132,11101,7807,276.683269042056,114903,45492,136.0069913861541,78411,29795
Bellingham,250000,2018,     149,50.3,17025,116152,15581.44,106.3855393756033,45246,19204,92.90801061782008,33672,4638,66.53469235726206,28390,13336,248.3825338009052,114903,45492,102.9578469921996,30022,11593
Belmont,260000,2018,"   1,206",91.4,26997,164918,14246.31,20.22687412913344,119434,38876,34.31921139260638,47078,1996,15.25274966173564,61220,19388,243.986750555655,95123,38339,20.22687412913344,119434,38876
Beverly,300000,2018,     342,76.9,42414,99525,14735.29,87.69508222122806,138727,44291,61.31588034968959,59183,3359,25.7873658958814,18104,7141,262.5574896867604,101086,40314,87.69508222122806,138727,44291
Billerica,310000,2018,     447,70.7,41708,134805,16564.97,65.20981276783174,99579,33112,74.10525417635182,55373,5706,57.51435676928141,20894,7898,240.6563967414169,109796,45744,65.20981276783174,99579,33112
Boston,350000,2018,"   5,504",56.1,665945,89212,21903.62,10.91601841386577,144376,41298,14.1370564113479,46143,1996,3.953119236267284,42875,13814,246.9696054949963,95123,38339,10.91601841386577,144376,41298
Bourne,360000,2018,     162,65.4,20455,90640,15782.86,208.0982435360793,111455,30558,90.72772773521478,38745,8935,178.2174309812915,16117,8406,382.0605908333728,95123,38339,208.0982435360793,111455,30558
Braintree,400000,2018,     686,84.3,38748,120593,14865.0,53.64560601153507,119854,35215,40.70242946122343,39303,1996,31.13206670981644,5680,2414,265.8161783173435,95123,38339,53.64560601153507,119854,35215
Brockton,440000,2018,     499,36.1,104713,74016,14491.29,92.22673654291196,119854,35215,53.85851815276532,49951,4381,52.43959802028657,11925,5724,280.425246730814,95123,38339,92.22673654291196,119854,35215
Brookline,460000,2018,"   1,112",92.7,62698,130600,19921.88,10.54007371863327,141771,47832,18.27145197045146,47078,1996,5.086335629762541,10982,3133,245.2886123277092,95123,38339,10.54007371863327,141771,47832
Burlington,480000,2018,     467,78.2,26169,133936,21749.93,48.00456412690737,115127,37230,61.16792323862093,50163,5706,39.50852335791047,20631,5694,243.4094525748384,101086,40314,48.00456412690737,115127,37230
Cambridge,490000,2018,     706,81.0,117962,121539,29519.54,9.131336957564528,138727,44291,20.79415920372324,46143,1996,5.822261220406522,22398,6834,243.9730287735407,95123,38339,9.131336957564528,138727,44291
Canton,500000,2018,     550,73.5,24293,130134,16860.89,63.06756834517812,119854,35215,54.85503512019972,43445,1077,37.37028481593876,8778,3724,262.5574556387233,95123,38339,63.06756834517812,119854,35215
Carver,520000,2018,     161,52.2,11641,69629,15178.09,159.2238465037959,111455,30558,85.9391902522276,43699,8935,131.579344475826,12742,6198,334.7691059079264,95123,38339,159.2238465037959,111455,30558
Chelmsford,560000,2018,     625,80.3,36182,134291,14953.95,83.14110096652465,99579,33112,73.09760636486465,43315,4787,50.47303388286245,6412,1246,239.9472735043271,109796,45744,83.14110096652465,99579,33112
Chelsea,570000,2018,     268,50.7,39890,71051,14668.26,22.367334500736,138727,44291,28.34043857155812,46143,1996,12.43375858195964,11290,2691,248.9805871683016,95123,38339,22.367334500736,138727,44291
Chicopee,610000,2018,     567,42.2,55441,63866,14834.54,185.0994989711179,92043,35371,49.58246096443064,58480,16507,24.93467163205371,16291,7933,298.5726951270406,114903,45492,163.2674641831784,78411,29795
Clinton,640000,2018,      99,39.4,15347,89888,14244.68,98.89760231526866,56631,19088,60.69233720519236,39028,5286,63.60003629459777,13691,8215,250.0387911166022,109796,45744,82.20276921961616,41407,11477
Cohasset,650000,2018,     324,85.8,8330,178013,16953.8,82.07439769240003,144376,41298,69.93529900795895,39303,1996,70.1580455802149,3825,714,285.5914334908722,95123,38339,82.07439769240003,144376,41298
Danvers,710000,2018,     489,67.3,27910,116636,16621.86,86.98700554865007,138727,44291,58.68660519582298,42578,3201,30.62762832659844,18104,7141,258.2206162123614,101086,40314,86.98700554865007,138727,44291
Dartmouth,720000,2018,     477,70.4,32366,97995,14001.83,165.3321619853631,90516,26617,92.06667907752592,53516,8935,110.3175110851604,13082,6277,357.8769264911879,114903,45492,165.3321619853631,90516,26617
Dedham,730000,2018,     452,57.1,25150,118877,20291.43,38.25000809255156,119854,35215,36.90719337642339,36481,1996,19.87762557320751,5644,1820,253.0986121930673,95123,38339,38.25000809255156,119854,35215
Douglas,770000,2018,     169,64.5,9024,136998,14499.64,115.3727161460544,45246,19204,86.7170923236457,30284,2666,66.66154452353209,15233,9947,242.8760251504355,114903,45492,96.9280507414186,30022,11593
Dracut,790000,2018,     217,61.3,32291,102500,12326.67,97.67905010392728,99579,33112,63.76159310580343,43315,4787,36.35907309574831,6412,1246,240.8810022709648,109796,45744,97.67905010392728,99579,33112
Duxbury,820000,2018,     683,75.1,16041,148505,15288.9,140.5078384677391,119854,35215,92.14799858298788,49322,5996,109.5176956225822,12742,6198,317.4626738438697,95123,38339,140.5078384677391,119854,35215
East Bridgewater,830000,2018,     293,46.1,14382,122693,12767.21,114.2991564792857,119854,35215,64.46585997235687,49951,4381,69.8356560142952,12742,6198,293.0008811028535,95123,38339,114.2991564792857,119854,35215
Easthampton,860000,2018,     202,35.6,16136,67329,14741.36,197.5458889382689,85389,33725,58.30062014127704,58480,16507,30.00214193996561,5550,4220,317.2311883139644,114903,45492,183.5615093216253,78411,29795
East Longmeadow,870000,2018,     219,83.1,16361,101570,15311.58,178.6023467850321,92043,35371,56.89727735779668,27240,2492,17.84633943394024,17006,6090,296.3589335426564,114903,45492,164.9865714355073,78411,29795
Easton,880000,2018,     584,75.2,25021,117418,14060.13,98.14841429812617,119854,35215,65.8775584358028,49951,4381,49.1202519437927,11925,5724,277.1683825784281,95123,38339,98.14841429812617,119854,35215
Everett,930000,2018,     513,37.8,48685,77796,14577.74,21.339766120542,138727,44291,30.15524232198341,49777,4278,13.46144161515666,11290,2691,247.9170240461538,95123,38339,21.339766120542,138727,44291
Fairhaven,940000,2018,     196,71.4,15899,86676,12594.42,166.0460501860613,90516,26617,87.67448554962232,38745,8935,118.4280194294537,13082,6277,358.1749464482253,114903,45492,166.0460501860613,90516,26617
Fall River,950000,2018,     528,47.3,93638,52734,14910.13,135.1978938569428,77015,24217,68.48075546945927,60316,8409,59.96247624280992,19499,7895,311.2345005460602,114903,45492,135.1978938569428,77015,24217
Falmouth,960000,2018,     257,74.3,32694,89809,18630.2,231.1042467805978,90516,26617,113.2757695190973,38745,8935,190.5302563277907,16117,8406,415.3022099459932,95123,38339,231.1042467805978,90516,26617
Fitchburg,970000,2018,     519,22.4,41621,65963,14470.86,134.119185956019,56631,19088,69.76701559489548,30134,1737,96.57265298310469,9691,4747,253.1634652186021,109796,45744,118.5039746806909,41407,11477
