District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Abington,00010000,     164,      40,      49,      51,      21,       3,  54.3,  45.7
Academy Of the Pacific Rim Charter Public (District),04120000,     154,     120,      25,       5,       3,       1,  94.2,   5.8
Acton-Boxborough,06000000,"   1,442",      22,      79,     229,     473,     639,   7.0,  93.0
Advanced Math and Science Academy Charter (District),04300000,     387,      17,      51,      87,     118,     114,  17.6,  82.4
Agawam,00050000,     423,      60,     104,     140,      82,      37,  38.8,  61.2
Amesbury,00070000,     100,       4,      12,      31,      27,      26,  16.0,  84.0
Amherst-Pelham,06050000,     224,       7,      29,      58,      79,      51,  16.1,  83.9
Andover,00090000,"   1,173",      55,     167,     281,     378,     292,  18.9,  81.1
Arlington,00100000,"   1,408",      94,     215,     379,     397,     323,  21.9,  78.1
Ashburnham-Westminster,06100000,     195,      21,      58,      62,      35,      19,  40.5,  59.5
Ashland,00140000,     436,      10,      25,      78,     146,     177,   8.0,  92.0
Assabet Valley Regional Vocational Technical,08010000,     110,      32,      37,      31,       9,       1,  62.7,  37.3
Athol-Royalston,06150000,      99,      56,      13,      18,       9,       3,  69.7,  30.3
Atlantis Charter (District),04910000,     116,      67,      31,      14,       4,       0,  84.5,  15.5
Attleboro,00160000,     646,     187,     181,     152,      99,      27,  57.0,  43.0
Auburn,00170000,     352,      70,     106,     109,      43,      24,  50.0,  50.0
Avon,00180000,      23,       3,       9,       6,       5,       0,  52.2,  47.8
Ayer Shirley School District,06160000,     118,      12,      28,      33,      35,      10,  33.9,  66.1
Barnstable,00200000,     565,     146,     176,     125,      85,      33,  57.0,  43.0
Baystate Academy Charter Public School (District),35020000,      22,      14,       6,       1,       1,       0,  90.9,   9.1
Bedford,00230000,     478,      13,      40,      88,     139,     198,  11.1,  88.9
Belchertown,00240000,     111,       6,      31,      32,      24,      18,  33.3,  66.7
Bellingham,00250000,     163,      45,      46,      43,      23,       6,  55.8,  44.2
