,County,EXAM_COUNT,EXAMS_3_OR_ABOVE,PERCENT_3_OR_ABOVE,Year,lat,lng
0,Alamance-Burlington,993,440,44.3101712,2018,,
1,Alexander,171,87,50.877193,2018,35.921,-81.177
2,Alleghany,2,*,*,2018,36.4916,-81.127
3,Anson,19,6,31.5789474,2018,34.9738,-80.1027
4,Ashe,97,53,54.6391753,2018,36.4341,-81.5004
5,Avery,51,24,47.0588235,2018,36.0765,-81.9226
6,Beaufort,151,46,30.4635762,2018,35.494,-76.8598
7,Bertie,1,*,*,2018,36.0663,-76.9788
8,Bladen,71,15,21.1267606,2018,34.6146,-78.5637
9,Brunswick,387,226,58.3979328,2018,34.0715,-78.2383
10,Buncombe,1220,671,55,2018,35.6112,-82.5301
11,Burke,527,264,50.0948767,2018,35.7496,-81.7048
12,Cabarrus,1863,1120,60.1180891,2018,35.3868,-80.5519
13,Caldwell,311,132,42.4437299,2018,35.953,-81.5464
14,Camden,32,20,62.5,2018,36.3891,-76.208
15,Carteret,295,238,80.6779661,2018,34.8357,-76.6589
16,Caswell,88,25,28.4090909,2018,36.3932,-79.3335
17,Catawba,665,285,42.8571429,2018,35.662,-81.2151
18,Chatham,495,257,51.9191919,2018,35.7026,-79.2554
19,Cherokee,43,10,23.255814,2018,35.1339,-84.0635
20,Clay,12,3,25,2018,35.0572,-83.7502
21,Cleveland,710,325,45.7746479,2018,35.3341,-81.5555
22,Columbus,117,36,30.7692308,2018,34.2657,-78.655
23,Craven,400,120,30,2018,35.1249,-77.0939
24,Cumberland,1798,642,35.7063404,2018,35.0487,-78.8277
25,Currituck,111,47,42.3423423,2018,36.405,-76.0079
26,Dare,410,211,51.4634146,2018,35.7824,-75.7988
27,Davidson,750,460,61.3333333,2018,35.7933,-80.2128
28,Davie,372,197,52.9569892,2018,35.9291,-80.5445
29,Duplin,168,60,35.7142857,2018,34.9365,-77.933
30,Durham,1975,1044,52.8607595,2018,36.036,-78.8766
31,Edgecombe,88,15,17.0454545,2018,35.9129,-77.5971
32,Forsyth,3226,2088,64.7241166,2018,36.1306,-80.2563
33,Franklin,338,130,38.4615385,2018,36.0828,-78.2857
34,Gaston,1076,423,39.3122677,2018,35.2944,-81.1803
35,Gates,14,2,14.2857143,2018,36.4449,-76.7005
36,Graham,27,7,25.9259259,2018,35.3502,-83.8335
37,Granville,232,41,17.6724138,2018,36.304,-78.6527
38,Greene,58,20,34.4827586,2018,35.485,-77.6758
39,Guilford,5858,3295,56.2478662,2018,36.0795,-79.7889
40,Halifax,,,,2018,36.2574,-77.6517
41,Halifax,15,2,13.3333333,2018,36.2574,-77.6517
42,Harnett,374,170,45.4545455,2018,35.3689,-78.8693
43,Haywood,218,106,48.6238532,2018,35.556,-82.9822
44,Henderson,660,396,60,2018,35.3363,-82.48
45,Hertford,1,*,*,2018,36.3591,-76.982
46,Hoke,281,39,13.8790036,2018,35.0175,-79.2373
47,Hyde,3,*,*,2018,35.5306,-76.2517
48,Jackson,67,51,76.119403,2018,35.2876,-83.1408
49,Johnston,932,539,57.832618,2018,35.5178,-78.3657
50,Jones,1,*,*,2018,35.0217,-77.3552
51,Lee,256,90,35.15625,2018,35.4752,-79.1715
52,Lenoir,125,28,22.4,2018,35.2388,-77.6413
53,Lincoln,820,385,46.9512195,2018,35.4856,-81.2235
54,Macon,120,77,64.1666667,2018,35.1505,-83.4222
55,Madison,56,8,14.2857143,2018,35.858,-82.7058
56,Martin,4,*,*,2018,35.8432,-77.1092
57,Mcdowell,157,46,29.2993631,2018,,
58,Mecklenburg,9294,5615,60.4153217,2018,35.2467,-80.8328
59,Mitchell,46,32,69.5652174,2018,36.0133,-82.1636
60,Montgomery,39,17,43.5897436,2018,35.3325,-79.9055
61,Moore,740,448,60.5405405,2018,35.3106,-79.4814
62,New Hanover,1405,787,56.0142349,2018,34.2329,-77.8848
63,Northampton,2,*,*,2018,36.4178,-77.3969
64,Onslow,762,254,33.3333333,2018,34.7322,-77.4322
65,Orange,457,315,68.9277899,2018,36.0611,-79.1207
66,Pamlico,65,25,38.4615385,2018,35.1434,-76.7407
67,Pasquotank,91,28,30.7692308,2018,36.2955,-76.2843
68,Pender,369,190,51.4905149,2018,34.5249,-77.9052
69,Perquimans,32,17,53.125,2018,36.2059,-76.4411
70,Person,172,69,40.1162791,2018,36.39,-78.9718
71,Pitt,1062,489,46.0451977,2018,35.5933,-77.3745
72,Polk,54,36,66.6666667,2018,35.2793,-82.1697
73,Randolph,593,219,36.93086,2018,35.7103,-79.806
74,Richmond,166,54,32.5301205,2018,35.0059,-79.7479
75,Robeson,409,72,17.603912,2018,34.6402,-79.1039
76,Rockingham,229,76,33.1877729,2018,36.396,-79.775
77,Rutherford,270,91,33.7037037,2018,35.4026,-81.9198
78,Sampson,166,72,43.373494,2018,34.9916,-78.3714
79,Scotland,108,27,25,2018,34.8409,-79.4804
80,Stanly,75,39,52,2018,35.3119,-80.251
81,Stokes,132,53,40.1515152,2018,36.4019,-80.2397
82,Surry,206,102,49.5145631,2018,36.4146,-80.688
83,Swain,61,34,55.7377049,2018,35.4868,-83.4928
84,Transylvania,136,89,65.4411765,2018,35.2021,-82.7982
85,Union,2942,1994,67.7770224,2018,34.9884,-80.5307
86,Vance,81,5,6.1728395,2018,36.3649,-78.4079
