COUNTY,STUDENTS_TESTED,EXAM_COUNT,EXAMS_3_OR_ABOVE,PERCENT_3_OR_ABOVE,Year
Adams,45,76,22,28.94736842105263,2018-19
Ashland,30,40,25,62.5,2018-19
Barron,132,196,101,51.53061224489796,2018-19
Bayfield,10,14,9,64.28571428571429,2018-19
Brown,2207,3378,2356,69.74541148608644,2018-19
Buffalo,26,32,18,56.25,2018-19
Burnett,71,91,35,38.46153846153846,2018-19
Calumet,130,187,110,58.8235294117647,2018-19
Chippewa,434,592,424,71.62162162162163,2018-19
Clark,21,29,13,44.82758620689656,2018-19
Columbia,320,453,291,64.23841059602648,2018-19
Crawford,223,363,121,33.33333333333334,2018-19
Dane,5482,9693,7087,73.11461879707005,2018-19
Dodge,361,559,311,55.6350626118068,2018-19
Door,135,248,167,67.33870967741936,2018-19
Douglas,276,387,229,59.17312661498708,2018-19
Dunn,121,184,128,69.56521739130434,2018-19
Eau Claire,701,1328,1045,78.68975903614458,2018-19
Fond du Lac,425,620,357,57.58064516129032,2018-19
Forest,20,20,18,90.0,2018-19
Grant,306,447,229,51.23042505592841,2018-19
Green,158,227,159,70.04405286343612,2018-19
Green Lake,24,32,16,50.0,2018-19
Iowa,98,142,91,64.08450704225352,2018-19
Iron,18,34,9,26.47058823529412,2018-19
Jackson,78,113,42,37.16814159292036,2018-19
Jefferson,669,1087,644,59.24563017479301,2018-19
Juneau,91,106,41,38.67924528301887,2018-19
Kenosha,1502,2460,1530,62.19512195121951,2018-19
Kewaunee,181,270,151,55.92592592592592,2018-19
La Crosse,817,1493,986,66.04152712659075,2018-19
Lafayette,87,128,54,42.1875,2018-19
Langlade,66,81,32,39.50617283950617,2018-19
Lincoln,165,222,142,63.96396396396396,2018-19
Manitowoc,244,347,166,47.83861671469741,2018-19
Marathon,712,1150,759,66.0,2018-19
Marinette,118,141,61,43.26241134751773,2018-19
Marquette,34,55,27,49.09090909090909,2018-19
Milwaukee,5631,9920,5559,56.0383064516129,2018-19
Monroe,181,316,180,56.96202531645569,2018-19
Oconto,103,126,56,44.44444444444444,2018-19
Oneida,192,296,193,65.20270270270271,2018-19
