,districts,lat,lng
0,Adams-Friendship Area,44.0196955,-89.77553379999999
1,Albany,42.7077845,-89.4370629
2,Algoma,44.6088884,-87.4325891
3,Alma,44.32431090000001,-91.9170233
4,Almond-Bancroft,44.2840105,-89.3606298
5,Altoona,44.8046825,-91.44321479999999
6,Amery,45.3069062,-92.3621369
7,Antigo Unified,45.140245,-89.15233529999999
8,Appleton Area,44.2938515,-88.4210006
9,Arcadia,44.25274049999999,-91.5015432
10,Argyle,42.7011151,-89.8670679
11,Arrowhead UHS,43.1242818,-88.362785
12,Ashland,46.5924428,-90.8837982
13,Ashwaubenon,44.4822137,-88.0701033
14,Auburndale,44.6269064,-90.0076294
15,Augusta,44.6802386,-91.11987549999999
16,Baldwin-Woodville Area,44.9387459,-92.341887
17,Bangor,43.8930218,-90.9904109
18,Baraboo,43.4710944,-89.74429060000001
19,Barneveld,43.0155526,-89.8954011
20,Barron Area,45.3964371,-91.8979531
21,Beaver Dam Unified,43.4582795,-88.8070886
22,Belleville,42.8597241,-89.5381766
23,Belmont Community,42.7462047,-90.3371889
24,Beloit,42.5083482,-89.03177649999999
25,Beloit Turner,42.5571231,-89.0847949
26,Benton,42.56972330000001,-90.3806832
27,Big Foot UHS,42.523,-88.6144839
28,Birchwood,45.65804379999999,-91.5558996
29,Black Hawk,43.269156,-89.927346
30,Black River Falls,44.2946833,-90.8515311
31,Blair-Taylor,44.2797844,-91.17369939999999
32,Bloomer,45.1002389,-91.4887724
33,Bonduel,44.74026790000001,-88.44482420000001
34,Boscobel Area,43.1337266,-90.7152749
35,Bowler,44.8630295,-88.9820527
36,Boyceville Community,45.0939646,-92.0352568
37,Brillion,44.1772137,-88.0642658
38,Brodhead,42.6183424,-89.3762278
39,Brown Deer,43.1633426,-87.9645321
40,Bruce,45.4569087,-91.2732106
41,Burlington Area,42.6557003,-88.28504199999999
42,Cadott Community,44.9566717,-91.17369939999999
43,Cambria-Friesland,43.5764894,-89.1134166
44,Cambridge,43.0036122,-89.0164995
45,Cameron,45.4085696,-91.7440591
46,Campbellsport,43.5977728,-88.2789873
47,Cashton,43.7419143,-90.7792984
48,Cassville,42.7144374,-90.99068360000001
49,Cedar Grove-Belgium Area,43.5496951,-87.82550069999999
50,Cedarburg,43.2966716,-87.9875898
51,Central/Westosha UHS,42.5736481,-88.050979
52,Chequamegon,46.6578879,-90.82849499999999
53,Chetek-Weyerhaeuser Area,45.4032936,-91.42517459999999
54,Chilton,44.0288803,-88.16287849999999
55,Chippewa Falls Area Unified,44.9540709,-91.4048249
56,Clear Lake,45.2519072,-92.27129959999999
57,Clinton Community,42.5651512,-88.8838834
58,Clintonville,44.6205349,-88.76232279999999
59,Cochrane-Fountain City,44.1971493,-91.714958
60,Colby,44.9099665,-90.3156911
61,Coleman,45.0649843,-88.0342701
62,Colfax,44.99746140000001,-91.7271154
63,Columbus,43.3380464,-89.0153875
64,Crandon,45.5719072,-88.9028922
65,Crivitz,45.2324755,-88.0076062
66,Cuba City,42.6055549,-90.42985019999999
67,Cudahy,42.959738,-87.861471
68,D C Everest Area,44.88691850000001,-89.5120084
69,Darlington Community,42.66843780000001,-90.11206960000001
70,De Forest Area,43.2696031,-89.341667
71,De Pere,44.4488805,-88.0603806
72,De Soto Area,43.439972,-91.09693999999999
73,Deerfield Community,43.0740324,-89.0752499
74,Delavan-Darien,42.6608263,-88.6723578
75,Denmark,44.3477717,-87.8273152
76,Dodgeland,43.3421707,-88.7686382
77,Dodgeville,42.96027429999999,-90.1301237
78,Durand-Arkansaw,44.6464772,-91.949021
79,East Troy Community,42.7944286,-88.4210006
80,Eau Claire Area,44.7285573,-91.4821482
81,Edgerton,42.8352835,-89.0676125
82,Elcho,45.4349158,-89.1835167
83,Eleva-Strum,44.5792328,-91.4048249
84,Elk Mound Area,44.8567122,-91.69550919999999
85,Elkhart Lake-Glenbeulah,43.8313155,-88.0314174
86,Elkhorn Area,42.7178505,-88.5371958
87,Ellsworth Community,44.712565,-92.4208713
88,Elmbrook,43.0621954,-88.1096118
89,Elmwood,44.78107610000001,-92.1460139
90,Evansville Community,42.7638871,-89.2657266
91,Fall Creek,44.7635717,-91.27709929999999
92,Fall River,43.3844337,-89.04511079999999
93,Fennimore Community,42.9788294,-90.6393702
94,Fond du Lac,43.7730448,-88.4470508
95,Fort Atkinson,42.9288944,-88.8370509
96,Franklin Public,42.8664102,-88.0314174
97,Freedom Area,44.36784979999999,-88.3044908
98,Galesville-Ettrick-Trempealeau,44.1263558,-91.3276422
99,Germantown,43.2286174,-88.1103691
100,Gibraltar Area,45.0771113,-87.1711466
101,Gillett,44.8899914,-88.3073234
102,Glenwood City,45.0585747,-92.17240749999999
103,Grafton,43.3197265,-87.9534226
104,Grantsburg,45.7763419,-92.6827041
105,Green Bay Area Public,44.5123664,-87.913867
106,Greendale,42.9405711,-87.9959191
107,Greenfield,42.9614039,-88.0125865
108,Greenwood,44.7702406,-90.59930759999999
109,Gresham,44.8530328,-88.7881604
110,Hamilton,43.9187889,-91.15449629999999
111,Hartford UHS,43.2791469,-88.362785
112,Hayward Community,46.010865,-91.29584229999999
113,Highland,43.0466579,-90.3798465
114,Hilbert,44.14026810000001,-88.1639909
115,Hillsboro,43.6521958,-90.34401779999999
116,Holmen,43.96329619999999,-91.25625389999999
117,Horicon,43.4513836,-88.63121389999999
118,Hortonville Area,44.3337272,-88.57585739999999
119,Howard-Suamico,44.5904124,-88.0705319
120,Howards Grove,43.8338831,-87.8200887
121,Hudson,44.9746896,-92.7568703
122,Hurley,46.4496698,-90.18656399999999
123,Hustisford,43.3461089,-88.6006572
124,Iola-Scandinavia,44.5092293,-89.1324866
125,Iowa-Grant,42.90201709999999,-90.4125181
126,Janesville,42.6827885,-89.0187222
127,Jefferson,43.0055594,-88.8073273
128,Johnson Creek,43.076113,-88.7742707
129,Kaukauna Area,44.2916047,-88.2655845
130,Kenosha,42.5847425,-87.82118539999999
131,Kettle Moraine,43.4986087,-88.1884285
132,Kewaskum,43.5208302,-88.2289851
133,Kewaunee,44.4583321,-87.50313969999999
134,Kickapoo Area,43.5010999,-90.658333
135,Kiel Area,43.9444758,-87.9530849
136,Kimberly Area,44.2158212,-88.2655845
137,Kohler,43.7391616,-87.7817541
138,La Crosse,43.8137751,-91.25190169999999
139,La Farge,43.57469589999999,-90.64040829999999
140,Ladysmith,45.4630231,-91.10403579999999
141,Lake Geneva-Genoa City UHS,42.5591871,-88.38219889999999
142,Lake Holcombe,45.2482706,-91.10244759999999
143,Lake Mills Area,43.1111381,-88.8838834
144,Lakeland UHS,45.9798496,-89.7677202
145,Lancaster Community,42.8225618,-90.7152749
146,Little Chute Area,44.2780585,-88.3093517
147,Lodi,43.313878,-89.5265093
148,Lomira,43.591382,-88.443713
149,Loyal,44.7369073,-90.4959724
150,Luck,45.57606639999999,-92.4827001
151,Luxemburg-Casco,44.5654945,-87.7369607
152,Madison Metropolitan,43.0470061,-89.389057
153,Manawa,44.4644255,-88.9198289
