State,Grade Level,Total Scholar Awards,Scholar,Honor,Distinction,International Diploma ,Capstone Diploma,Capstone Certificate,,,
AK,10th,25,18,2,5,0,0,0,,,
AK,11th,177,120,33,20,0,0,4,,,
AK,12th,289,134,62,85,0,4,4,,,
AK,Not in HS,1,0,1,0,0,0,0,,,
,,492,272,98,110,0,4,8,,,
AL,9th,8,7,1,0,0,0,0,,,
AL,10th,181,109,40,32,0,0,0,,,
AL,11th,1676,923,365,346,0,22,20,,,
AL,12th,2724,1466,403,794,0,46,15,,,
AL,Not in HS,3,2,0,1,0,0,0,,,
,,4592,2507,809,1173,0,68,35,,,
AR,9th,5,5,0,0,0,0,0,,,
AR,10th,218,153,35,30,0,0,0,,,
AR,11th,1415,789,268,313,0,25,20,,,
AR,12th,1902,1025,261,518,2,83,13,,,
AR,Not in HS,2,1,0,1,0,0,0,,,
,,3542,1973,564,862,2,108,33,,,
AZ,9th,216,156,43,17,0,0,0,,,
AZ,10th,1040,451,178,411,0,0,0,,,
AZ,11th,3372,1563,603,1100,3,57,46,,,
AZ,12th,3527,1463,566,1279,5,168,46,,,
AZ,Not in HS,6,4,0,2,0,0,0,,,
,,8161,3637,1390,2809,8,225,92,,,
CA,9th,177,116,29,32,0,0,0,,,
CA,10th,3581,2423,721,431,0,0,6,,,
CA,11th,32392,15645,7809,8428,3,176,331,,,
CA,12th,44345,16750,7429,18855,56,789,466,,,
CA,Not in HS,46,11,8,24,0,2,1,,,
CA,Not yet in 9th,2,2,0,0,0,0,0,,,
,,80543,34947,15996,27770,59,967,804,,,
CO,9th,22,19,2,1,0,0,0,,,
CO,10th,664,485,126,53,0,0,0,,,
CO,11th,4701,2334,1110,1155,1,35,66,,,
CO,12th,6286,2583,1160,2326,11,135,71,,,
CO,Not in HS,8,4,2,2,0,0,0,,,
,,11681,5425,2400,3537,12,170,137,,,
CT,9th,1,1,0,0,0,0,0,,,
CT,10th,223,177,30,15,0,0,1,,,
CT,11th,3340,1638,831,823,0,16,32,,,
CT,12th,5571,2099,1076,2293,8,52,43,,,
CT,Not in HS,1,0,1,0,0,0,0,,,
,,9136,3915,1938,3131,8,68,76,,,
DC,9th,7,5,0,2,0,0,0,,,
DC,10th,53,33,4,16,0,0,0,,,
DC,11th,568,271,146,151,0,0,0,,,
DC,12th,661,237,124,279,4,12,5,,,
,,1289,546,274,448,4,12,5,,,
DE,9th,3,3,0,0,0,0,0,,,
DE,10th,88,63,17,8,0,0,0,,,
DE,11th,670,291,129,191,0,37,22,,,
DE,12th,842,324,140,316,2,53,7,,,
,,1603,681,286,515,2,90,29,,,
FL,9th,167,129,22,16,0,0,0,,,
FL,10th,7128,4436,1575,947,0,11,159,,,
FL,11th,19323,8681,3353,5833,6,743,707,,,
FL,12th,20964,9616,2952,6740,13,1263,380,,,
FL,Not in HS,16,8,1,6,0,1,0,,,
FL,Not yet in 9th,2,2,0,0,0,0,0,,,
,,47600,22872,7903,13542,19,2018,1246,,,
GA,9th,48,40,7,1,0,0,0,,,
GA,10th,3433,2202,814,417,0,0,0,,,
GA,11th,10019,4320,2018,3420,0,147,114,,,
GA,12th,10715,4066,1593,4461,13,474,108,,,
GA,Not in HS,10,4,3,3,0,0,0,,,
,,24225,10632,4435,8302,13,621,222,,,
HI,9th,1,1,0,0,0,0,0,,,
HI,10th,18,12,3,3,0,0,0,,,
HI,11th,520,292,142,62,0,7,17,,,
HI,12th,1118,478,225,381,1,31,2,,,
HI,Not in HS,1,1,0,0,0,0,0,,,
,,1658,784,370,446,1,38,19,,,
IA,9th,4,4,0,0,0,0,0,,,
IA,10th,123,86,29,8,0,0,0,,,
IA,11th,790,437,182,162,0,2,7,,,
IA,12th,1256,522,230,461,1,30,12,,,
IA,Not in HS,1,0,1,0,0,0,0,,,
,,2174,1049,442,631,1,32,19,,,
ID,9th,11,7,4,0,0,0,0,,,
ID,10th,86,46,16,24,0,0,0,,,
ID,11th,601,291,133,148,0,12,17,,,
ID,12th,871,401,173,270,1,23,3,,,
,,1569,745,326,442,1,35,20,,,
IL,9th,19,16,1,2,0,0,0,,,
IL,10th,1375,956,281,91,0,0,47,,,
IL,11th,10256,4957,2335,2822,0,68,74,,,
IL,12th,14610,5739,2393,5998,25,310,145,,,
IL,Not in HS,12,7,1,3,0,0,1,,,
IL,Not Yet in HS,1,0,1,0,0,0,0,,,
,,26273,11675,5012,8916,25,378,267,,,
IN,9th,8,6,1,1,0,0,0,,,
IN,10th,427,282,73,72,0,0,0,,,
IN,11th,3377,1729,684,831,1,93,39,,,
IN,12th,5660,2547,889,1851,4,269,100,,,
IN,Not in HS,7,5,2,0,0,0,0,,,
,,9479,4569,1649,2755,5,362,139,,,
KS,9th,2,2,0,0,0,0,0,,,
KS,10th,55,36,9,10,0,0,0,,,
KS,11th,727,384,155,187,0,0,1,,,
KS,12th,1160,503,215,416,0,17,9,,,
KS,Not in HS,1,1,0,0,0,0,0,,,
,,1945,926,379,613,0,17,10,,,
KY,9th,13,12,0,1,0,0,0,,,
KY,10th,709,474,165,70,0,0,0,,,
KY,11th,2290,1146,501,574,0,33,36,,,
KY,12th,2582,1099,431,918,0,106,28,,,
KY,Not in HS,2,2,0,0,0,0,0,,,
,,5596,2733,1097,1563,0,139,64,,,
LA,9th,3,3,0,0,0,0,0,,,
LA,10th,308,234,44,30,0,0,0,,,
LA,11th,1466,842,267,309,0,25,23,,,
LA,12th,1809,832,285,608,4,61,19,,,
,,3586,1911,596,947,4,86,42,,,
MA,9th,7,4,1,2,0,0,0,,,
MA,10th,271,160,39,14,0,0,58,,,
MA,11th,4448,2600,1084,668,1,22,73,,,
MA,12th,10389,4026,2133,4016,14,104,96,,,
MA,Not in HS,8,2,3,3,0,0,0,,,
MA,Not yet in 9th,2,1,1,0,0,0,0,,,
,,15125,6793,3261,4703,15,126,227,,,
MD,9th,19,15,3,1,0,0,0,,,
MD,10th,1122,866,212,44,0,0,0,,,
MD,11th,6033,2703,1419,1824,0,39,48,,,
MD,12th,6354,2019,1065,3128,12,90,40,,,
MD,Not in HS,6,1,2,3,0,0,0,,,
MD,Not yet in 9th,1,1,0,0,0,0,0,,,
,,13535,5605,2701,5000,12,129,88,,,
ME,10th,13,9,2,2,0,0,0,,,
ME,11th,454,255,104,82,0,2,11,,,
ME,12th,840,387,195,245,1,8,4,,,
ME,Not in HS,1,1,0,0,0,0,0,,,
,,1308,652,301,329,1,10,15,,,
MI,9th,23,21,2,0,0,0,0,,,
MI,10th,547,384,102,61,0,0,0,,,
MI,11th,4916,2549,1144,1125,0,37,61,,,
MI,12th,7730,3209,1530,2831,5,119,36,,,
MI,Not in HS,11,2,1,7,0,1,0,,,
,,13227,6165,2779,4024,5,157,97,,,
MN,9th,59,42,13,4,0,0,0,,,
MN,10th,749,468,164,117,0,0,0,,,
MN,11th,3533,1716,851,964,1,1,0,,,
MN,12th,4653,1825,841,1888,8,66,25,,,
