State,Grade Level,Total Scholar Awards,AP Scholar,AP Scholar  with Honor,AP Scholar with Distinction,AP International Diploma,AP Capstone Diploma,"AP Seminar 
and Research Certificate",,
AK     ,9th,2,1,1,0,0,0,0,,
AK     ,10th,53,35,5,9,0,0,4,,
AK     ,11th,259,135,61,54,0,2,7,,
AK     ,12th,398,186,61,134,0,8,9,,
,,712,357,128,197,0,10,20,,
AL     ,9th,9,8,1,0,0,0,0,,
AL     ,10th,293,212,50,31,0,0,0,,
AL     ,11th,1985,1111,407,417,0,29,21,,
AL     ,12th,3370,1665,490,1109,2,80,24,,
AL     ,Not in HS,5,4,0,0,0,0,1,,
,,5662,3000,948,1557,2,109,46,,
AR     ,9th,8,8,0,0,0,0,0,,
AR     ,10th,326,222,62,39,0,1,2,,
AR     ,11th,1595,805,339,381,1,46,23,,
AR     ,12th,2388,1299,354,627,4,80,24,,
AR     ,Not in HS,7,1,3,3,0,0,0,,
,,4324,2335,758,1050,5,127,49,,
AZ     ,9th,179,141,29,9,0,0,0,,
AZ     ,10th,1198,495,218,484,0,0,1,,
AZ     ,11th,3962,1711,765,1326,1,92,67,,
AZ     ,12th,4666,2085,722,1641,3,165,50,,
AZ     ,Not in HS,11,5,0,6,0,0,0,,
AZ     ,Not yet in 9th,1,1,0,0,0,0,0,,
,,10017,4438,1734,3466,4,257,118,,
CA     ,9th,358,241,79,36,0,1,1,,
CA     ,10th,6354,4174,1316,859,0,2,3,,
CA     ,11th,43480,19140,10370,13371,5,294,300,,
CA     ,12th,61645,25026,9132,25688,72,1236,491,,
CA     ,Not in HS,123,53,19,50,0,1,0,,
CA     ,Not yet in 9th,8,4,4,0,0,0,0,,
,,111968,48638,20920,40004,77,1534,795,,
CO     ,9th,15,14,1,0,0,0,0,,
CO     ,10th,915,637,193,85,0,0,0,,
CO     ,11th,5052,2386,1154,1389,2,36,85,,
CO     ,12th,7547,3205,1306,2745,10,186,95,,
CO     ,Not in HS,25,10,4,11,0,0,0,,
,,13554,6252,2658,4230,12,222,180,,
CT     ,9th,4,3,0,1,0,0,0,,
CT     ,10th,371,278,65,28,0,0,0,,
CT     ,11th,3726,1693,904,1079,0,19,31,,
CT     ,12th,6015,2294,1006,2636,16,34,29,,
CT     ,Not in HS,9,2,3,4,0,0,0,,
CT     ,Not yet in 9th,2,2,0,0,0,0,0,,
,,10127,4272,1978,3748,16,53,60,,
DC     ,9th,30,18,9,3,0,0,0,,
DC     ,10th,48,23,7,18,0,0,0,,
DC     ,11th,571,270,163,138,0,0,0,,
DC     ,12th,919,374,136,378,3,17,11,,
,,1568,685,315,537,3,17,11,,
DE     ,9th,5,3,1,1,0,0,0,,
DE     ,10th,163,107,29,27,0,0,0,,
DE     ,11th,741,335,127,224,0,26,29,,
DE     ,12th,990,446,133,318,2,73,18,,
DE     ,Not in HS,1,1,0,0,0,0,0,,
,,1900,892,290,570,2,99,47,,
FL     ,9th,221,172,30,17,0,0,2,,
FL     ,10th,8752,5344,1995,1219,0,6,188,,
FL     ,11th,21174,9272,3662,6531,11,819,879,,
FL     ,12th,25759,12571,3245,7830,34,1617,462,,
FL     ,Not in HS,42,27,4,11,0,0,0,,
FL     ,Not yet in 9th,3,2,0,1,0,0,0,,
,,55951,27388,8936,15609,45,2442,1531,,
GA     ,9th,70,58,10,2,0,0,0,,
GA     ,10th,5314,3143,1409,755,0,3,4,,
GA     ,11th,12223,4917,2302,4464,1,327,212,,
GA     ,12th,13722,5469,1931,5529,6,652,135,,
GA     ,Not in HS,25,13,2,9,0,1,0,,
GA     ,Not yet in 9th,1,1,0,0,0,0,0,,
,,31355,13601,5654,10759,7,983,351,,
HI     ,9th,1,1,0,0,0,0,0,,
HI     ,10th,24,21,2,1,0,0,0,,
HI     ,11th,589,307,137,103,0,14,28,,
HI     ,12th,1304,569,271,397,2,43,22,,
HI     ,Not in HS,3,2,1,0,0,0,0,,
,,1921,900,411,501,2,57,50,,
IA     ,9th,12,8,1,2,0,0,1,,
IA     ,10th,188,130,34,24,0,0,0,,
IA     ,11th,917,475,198,237,0,4,3,,
IA     ,12th,1269,592,243,413,0,15,6,,
,,2386,1205,476,676,0,19,10,,
ID     ,9th,7,2,4,1,0,0,0,,
ID     ,10th,96,54,18,24,0,0,0,,
ID     ,11th,636,331,129,150,0,13,13,,
ID     ,12th,1144,538,203,373,1,24,5,,
ID     ,Not in HS,2,1,0,1,0,0,0,,
,,1885,926,354,549,1,37,18,,
IL     ,9th,37,32,3,2,0,0,0,,
IL     ,10th,2270,1587,470,178,0,3,32,,
IL     ,11th,12292,5588,2797,3712,2,82,111,,
IL     ,12th,19130,7910,2938,7731,21,379,151,,
IL     ,Not in HS,40,14,8,18,0,0,0,,
,,33769,15131,6216,11641,23,464,294,,
IN     ,9th,9,5,3,1,0,0,0,,
IN     ,10th,626,430,96,99,0,1,0,,
IN     ,11th,4001,1898,804,1084,0,143,72,,
IN     ,12th,6492,2969,997,2151,4,258,113,,
IN     ,Not in HS,13,5,2,5,0,1,0,,
IN     ,Not yet in 9th,1,1,0,0,0,0,0,,
,,11142,5308,1902,3340,4,403,185,,
KS     ,9th,4,2,1,1,0,0,0,,
KS     ,10th,75,51,11,13,0,0,0,,
KS     ,11th,854,413,226,214,0,0,1,,
KS     ,12th,1227,505,228,479,0,11,4,,
KS     ,Not in HS,2,1,0,1,0,0,0,,
,,2162,972,466,708,0,11,5,,
KY     ,9th,36,35,1,0,0,0,0,,
KY     ,10th,888,606,190,92,0,0,0,,
KY     ,11th,2500,1240,494,675,0,49,42,,
KY     ,12th,2955,1375,437,1003,2,117,21,,
KY     ,Not in HS,2,1,0,1,0,0,0,,
KY     ,Not yet in 9th,1,0,1,0,0,0,0,,
,,6382,3257,1123,1771,2,166,63,,
LA     ,9th,1,1,0,0,0,0,0,,
LA     ,10th,389,297,61,31,0,0,0,,
LA     ,11th,1591,776,374,391,0,22,28,,
LA     ,12th,2313,1048,362,811,0,71,21,,
LA     ,Not in HS,4,2,2,0,0,0,0,,
,,4298,2124,799,1233,0,93,49,,
MA     ,9th,15,10,2,3,0,0,0,,
MA     ,10th,532,328,103,62,0,0,39,,
MA     ,11th,6528,3459,1612,1345,0,29,83,,
MA     ,12th,12961,5165,2309,5171,34,155,127,,
MA     ,Not in HS,32,9,5,18,0,0,0,,
,,20068,8971,4031,6599,34,184,249,,
MD     ,9th,49,40,4,5,0,0,0,,
MD     ,10th,2014,1310,460,244,0,0,0,,
MD     ,11th,7690,3140,1482,2959,1,49,59,,
MD     ,12th,9305,3404,1350,4237,11,229,74,,
MD     ,Not in HS,23,6,6,11,0,0,0,,
,,19081,7900,3302,7456,12,278,133,,
ME     ,10th,41,35,4,2,0,0,0,,
ME     ,11th,493,283,115,78,0,5,12,,
ME     ,12th,1082,523,210,335,1,13,0,,
ME     ,Not in HS,2,0,2,0,0,0,0,,
ME     ,Not yet in 9th,1,0,0,1,0,0,0,,
,,1619,841,331,416,1,18,12,,
MI     ,9th,67,55,10,1,0,0,1,,
MI     ,10th,812,543,143,124,0,0,2,,
MI     ,11th,5920,2950,1454,1428,0,32,56,,
MI     ,12th,9572,4082,1712,3522,6,176,74,,
MI     ,Not in HS,24,7,8,6,0,3,0,,
MI     ,Not yet in 9th,1,1,0,0,0,0,0,,
,,16396,7638,3327,5081,6,211,133,,
MN     ,9th,90,66,14,10,0,0,0,,
MN     ,10th,1175,744,250,181,0,0,0,,
MN     ,11th,4249,1922,962,1353,1,6,5,,
