State,Grade Level,Total Scholar Awards,AP Scholar,"AP Scholar 
with Honor","AP Scholar 
with 
Distinction","AP 
International Diploma",AP Capstone Diploma,"AP Seminar 
and Research Certificate"
AK,9th,2,0,0,2,0,0,0
AK,10th,58,45,11,2,0,0,0
AK,11th,405,193,94,86,0,14,18
AK,12th,468,206,84,147,0,21,10
AK,All,933,444,189,237,0,35,28
AL,9th,11,8,1,2,0,0,0
AL,10th,459,320,88,51,0,0,0
AL,11th,2877,1398,600,774,0,71,34
AL,12th,3650,1712,573,1237,0,105,23
AL,Not in HS,6,3,3,0,0,0,0
AL,All,7003,3441,1265,2064,0,176,57
AR,9th,16,14,2,0,0,0,0
AR,10th,515,331,120,60,0,0,4
AR,11th,2355,1185,459,582,1,75,53
AR,12th,2601,1377,355,737,0,105,27
AR,Not in HS,3,2,1,0,0,0,0
AR,All,5490,2909,937,1379,1,180,84
AZ,9th,312,218,74,20,0,0,0
AZ,10th,1530,648,288,594,0,0,0
AZ,11th,4961,2078,904,1714,1,187,77
AZ,12th,5417,2268,840,2045,2,205,57
AZ,Not in HS,7,4,2,1,0,0,0
AZ,All,12227,5216,2108,4374,3,392,134
CA,9th,413,299,77,37,0,0,0
CA,10th,8855,5660,1896,1289,0,3,7
CA,11th,52908,22358,12356,17306,6,487,395
CA,12th,70462,26865,10459,30865,98,1578,597
CA,Not in HS,34,12,9,12,0,1,0
CA,Not yet in 9th,13,7,5,1,0,0,0
CA,All,132685,55201,24802,49510,104,2069,999
CO,9th,40,33,6,1,0,0,0
CO,10th,1288,906,258,124,0,0,0
CO,11th,6270,2817,1418,1861,4,69,101
CO,12th,8049,3320,1318,3200,13,147,51
CO,Not in HS,9,5,2,2,0,0,0
CO,All,15656,7081,3002,5188,17,216,152
CT,9th,11,7,1,3,0,0,0
CT,10th,607,409,137,61,0,0,0
CT,11th,4514,1975,1107,1365,1,34,32
CT,12th,6301,2320,1034,2869,12,41,25
CT,Not in HS,5,2,0,3,0,0,0
CT,Not yet in 9th,1,0,1,0,0,0,0
CT,All,11439,4713,2280,4301,13,75,57
DC,9th,28,20,7,1,0,0,0
DC,10th,124,62,19,43,0,0,0
DC,11th,762,356,203,201,0,0,2
DC,12th,943,355,138,415,10,14,11
DC,Not in HS,2,0,0,2,0,0,0
DC,Not yet in 9th,3,3,0,0,0,0,0
DC,All,1862,796,367,662,10,14,13
DE,9th,5,5,0,0,0,0,0
DE,10th,231,140,55,35,0,0,1
DE,11th,955,432,165,257,0,44,57
DE,12th,1189,493,179,435,0,60,22
DE,Not in HS,1,0,0,1,0,0,0
DE,All,2381,1070,399,728,0,104,80
FL,9th,314,257,41,16,0,0,0
FL,10th,11029,6192,2852,1774,0,16,195
FL,11th,26071,10599,4641,8660,4,1291,876
FL,12th,28305,12879,3726,9269,19,1889,523
FL,Not in HS,19,6,5,7,0,1,0
FL,Not yet in 9th,2,2,0,0,0,0,0
FL,All,65740,29935,11265,19726,23,3197,1594
GA,9th,169,150,19,0,0,0,0
GA,10th,6911,3519,2026,1348,0,1,17
GA,11th,15549,5859,2787,6211,3,471,218
GA,12th,15384,5726,2036,6516,8,933,165
GA,Not in HS,7,3,0,4,0,0,0
GA,All,38020,15257,6868,14079,11,1405,400
HI,10th,40,32,3,5,0,0,0
HI,11th,741,364,169,143,0,26,39
HI,12th,1456,618,261,492,6,56,23
HI,All,2237,1014,433,640,6,82,62
IA,9th,11,6,1,4,0,0,0
IA,10th,230,156,52,22,0,0,0
IA,11th,1232,603,251,370,1,2,5
IA,12th,1461,634,274,505,1,33,14
IA,Not in HS,1,0,0,1,0,0,0
IA,All,2935,1399,578,902,2,35,19
ID,9th,8,6,2,0,0,0,0
ID,10th,110,60,22,28,0,0,0
ID,11th,783,383,158,195,0,24,23
ID,12th,1184,537,207,408,2,26,4
ID,All,2085,986,389,631,2,50,27
IL,9th,61,55,5,1,0,0,0
IL,10th,2871,1984,599,254,0,3,31
IL,11th,15216,6414,3513,5073,0,98,118
IL,12th,20366,7879,3232,8628,30,418,179
IL,Not in HS,16,8,4,4,0,0,0
IL,Not yet in 9th,2,1,1,0,0,0,0
IL,All,38532,16341,7354,13960,30,519,328
IN,9th,12,8,4,0,0,0,0
IN,10th,763,526,115,122,0,0,0
IN,11th,4823,2277,964,1347,0,137,98
IN,12th,7359,3051,1123,2639,1,409,136
IN,Not in HS,3,2,0,1,0,0,0
IN,All,12960,5864,2206,4109,1,546,234
KS,10th,96,73,14,9,0,0,0
KS,11th,1124,538,299,284,0,2,1
KS,12th,1563,628,270,631,0,30,4
KS,Not in HS,1,1,0,0,0,0,0
KS,All,2784,1240,583,924,0,32,5
KY,9th,48,35,12,1,0,0,0
KY,10th,1230,831,255,139,0,2,3
KY,11th,3122,1529,627,861,1,49,55
KY,12th,3303,1501,515,1106,0,141,40
KY,Not in HS,5,1,0,4,0,0,0
KY,All,7708,3897,1409,2111,1,192,98
LA,9th,5,4,1,0,0,0,0
LA,10th,586,453,89,43,0,0,1
LA,11th,2156,1025,478,565,0,44,44
LA,12th,2480,1112,384,873,4,87,20
LA,Not in HS,1,1,0,0,0,0,0
LA,All,5228,2595,952,1481,4,131,65
MA,9th,27,17,5,5,0,0,0
MA,10th,736,489,128,73,0,0,46
MA,11th,8281,4167,2115,1844,1,53,101
MA,12th,14428,5365,2565,6068,36,227,167
MA,Not in HS,12,7,1,4,0,0,0
MA,Not yet in 9th,2,1,1,0,0,0,0
MA,All,23486,10046,4815,7994,37,280,314
MD,9th,50,46,3,1,0,0,0
MD,10th,2813,1814,691,307,0,0,1
MD,11th,8845,3540,1774,3414,1,55,61
MD,12th,10259,3901,1470,4517,18,239,114
MD,Not in HS,8,3,2,3,0,0,0
MD,All,21975,9304,3940,8242,19,294,176
ME,10th,54,37,12,3,0,0,2
ME,11th,728,393,182,126,0,5,22
ME,12th,1108,507,222,361,4,11,3
ME,Not in HS,2,0,2,0,0,0,0
ME,All,1892,937,418,490,4,16,27
MI,9th,61,43,17,1,0,0,0
MI,10th,1086,724,231,130,0,0,1
MI,11th,7298,3515,1699,1944,0,55,85
MI,12th,10733,4392,1913,4073,3,239,113
MI,Not in HS,12,5,1,4,0,1,1
MI,All,19190,8679,3861,6152,3,295,200
MN,9th,124,91,29,4,0,0,0
MN,10th,1512,945,305,261,1,0,0
MN,11th,4807,2061,1176,1555,1,6,8
MN,12th,6002,2350,990,2496,6,116,44
MN,Not in HS,3,2,1,0,0,0,0
MN,Not yet in 9th,2,2,0,0,0,0,0
MN,All,12450,5451,2501,4316,8,122,52
MO,9th,1,0,1,0,0,0,0
MO,10th,249,184,42,20,0,0,3
MO,11th,3208,1553,835,768,1,25,26
MO,12th,4090,1502,700,1749,3,79,57
MO,Not in HS,4,2,1,1,0,0,0
MO,All,7552,3241,1579,2538,4,104,86
MS,9th,6,6,0,0,0,0,0
MS,10th,161,115,41,5,0,0,0
MS,11th,740,415,168,151,0,1,5
MS,12th,939,422,154,292,0,38,33
MS,All,1846,958,363,448,0,39,38
MT,9th,1,0,1,0,0,0,0
MT,10th,53,46,6,1,0,0,0
MT,11th,435,222,123,90,0,0,0
MT,12th,714,313,135,255,4,5,2
MT,All,1203,581,265,346,4,5,2
NC,9th,85,62,19,4,0,0,0
NC,10th,3633,2131,922,565,0,2,13
NC,11th,11032,4720,2242,3568,0,268,234
NC,12th,12895,5234,1964,4955,8,524,210
NC,Not in HS,17,12,4,0,0,0,1
NC,Not yet in 9th,1,1,0,0,0,0,0
NC,All,27663,12160,5151,9092,8,794,458
ND,10th,40,30,8,2,0,0,0
ND,11th,303,113,74,60,0,16,40
ND,12th,407,182,88,130,0,7,0
ND,All,750,325,170,192,0,23,40
NE,9th,1,1,0,0,0,0,0
NE,10th,206,142,41,23,0,0,0
NE,11th,1061,529,294,235,0,1,2
NE,12th,1258,519,203,503,0,32,1
NE,Not yet in 9th,1,0,1,0,0,0,0
NE,All,2527,1191,539,761,0,33,3
NH,9th,4,1,2,1,0,0,0
NH,10th,95,55,28,12,0,0,0
NH,11th,636,342,143,150,0,1,0
NH,12th,1169,486,239,441,1,1,1
NH,Not in HS,1,0,0,1,0,0,0
NH,All,1905,884,412,605,1,2,1
NJ,9th,35,22,5,8,0,0,0
NJ,10th,1341,890,294,154,0,2,1
NJ,11th,12220,5077,2834,3678,1,307,323
NJ,12th,18273,6442,2938,8018,25,619,231
NJ,Not in HS,7,2,2,3,0,0,0
NJ,Not yet in 9th,1,0,1,0,0,0,0
NJ,All,31877,12433,6074,11861,26,928,555
NM,9th,1,1,0,0,0,0,0
NM,10th,97,68,20,9,0,0,0
NM,11th,657,322,152,160,1,4,18
NM,12th,862,444,113,261,1,27,16
NM,Not in HS,2,2,0,0,0,0,0
NM,All,1619,837,285,430,2,31,34
NV,9th,24,19,3,2,0,0,0
NV,10th,609,387,142,79,0,0,1
NV,11th,2163,958,451,587,0,109,58
NV,12th,2413,1095,360,823,3,109,23
NV,Not in HS,2,1,0,1,0,0,0
NV,Not yet in 9th,4,1,1,2,0,0,0
NV,All,5215,2461,957,1494,3,218,82
NY,9th,56,49,4,2,0,0,1
NY,10th,3139,2266,558,206,0,24,85
NY,11th,25437,11048,5882,6568,3,879,1057
NY,12th,31486,12515,4948,12683,50,824,466
NY,Not in HS,21,11,3,6,1,0,0
NY,Not yet in 9th,3,2,1,0,0,0,0
NY,All,60142,25891,11396,19465,54,1727,1609
OH,9th,24,13,10,1,0,0,0
OH,10th,1205,750,283,171,0,1,0
OH,11th,8341,3729,1885,2415,1,180,131
OH,12th,11438,4302,1975,4699,5,373,84
OH,Not in HS,8,1,0,7,0,0,0
OH,All,21016,8795,4153,7293,6,554,215
OK,9th,1,0,1,0,0,0,0
OK,10th,139,93,26,20,0,0,0
OK,11th,1476,790,315,340,0,24,7
OK,12th,1832,849,319,610,1,36,17
OK,Not in HS,1,1,0,0,0,0,0
OK,All,3449,1733,661,970,1,60,24
OR,9th,10,8,1,1,0,0,0
OR,10th,317,240,49,28,0,0,0
OR,11th,2072,1063,503,467,2,12,25
OR,12th,2902,1339,531,978,8,39,7
OR,Not in HS,3,2,0,1,0,0,0
OR,All,5304,2652,1084,1475,10,51,32
PA,9th,57,45,5,7,0,0,0
PA,10th,1506,1006,326,168,0,0,6
PA,11th,9581,4212,2177,2868,1,182,141
PA,12th,13387,5039,2333,5649,8,251,107
PA,Not in HS,9,5,1,3,0,0,0
PA,Not yet in 9th,2,1,1,0,0,0,0
PA,All,24542,10308,4843,8695,9,433,254
RI,9th,2,0,0,2,0,0,0
RI,10th,28,14,9,5,0,0,0
RI,11th,678,358,159,157,0,1,3
RI,12th,1336,597,238,476,1,10,14
RI,All,2044,969,406,640,1,11,17
SC,9th,19,18,1,0,0,0,0
SC,10th,1376,889,318,123,0,43,3
SC,11th,4045,1606,856,1230,1,228,124
SC,12th,4785,1779,736,1772,5,408,85
SC,Not in HS,3,2,0,1,0,0,0
SC,All,10228,4294,1911,3126,6,679,212
SD,9th,2,1,1,0,0,0,0
SD,10th,105,76,22,7,0,0,0
SD,11th,358,156,86,109,0,2,5
SD,12th,448,183,96,167,0,1,1
SD,All,913,416,205,283,0,3,6
TN,9th,22,17,3,2,0,0,0
TN,10th,1220,774,256,155,0,2,33
TN,11th,5077,2099,1109,1543,0,165,161
TN,12th,6266,2397,916,2558,3,304,88
TN,Not in HS,1,0,0,1,0,0,0
TN,All,12586,5287,2284,4259,3,471,282
TX,9th,458,376,62,19,0,0,1
TX,10th,11852,7160,2876,1808,0,2,6
TX,11th,35276,14926,6460,12641,8,937,304
TX,12th,37768,17012,4940,14501,20,1033,262
TX,Not in HS,28,10,5,13,0,0,0
TX,Not yet in 9th,4,3,0,1,0,0,0
TX,All,85386,39487,14343,28983,28,1972,573
UT,9th,69,57,7,5,0,0,0
UT,10th,1106,794,217,95,0,0,0
UT,11th,3570,1633,885,985,6,43,18
UT,12th,3738,1440,734,1476,4,70,14
UT,Not in HS,2,0,0,2,0,0,0
UT,Not yet in 9th,1,0,1,0,0,0,0
UT,All,8486,3924,1844,2563,10,113,32
VA,9th,59,51,7,1,0,0,0
VA,10th,2238,1561,440,237,0,0,0
VA,11th,11912,4878,2694,4103,2,142,93
VA,12th,14681,5702,2112,6288,31,388,160
VA,Not in HS,10,3,1,6,0,0,0
VA,Not yet in 9th,1,0,0,1,0,0,0
VA,All,28901,12195,5254,10636,33,530,253
VT,10th,15,11,4,0,0,0,0
VT,11th,336,201,68,67,0,0,0
VT,12th,554,221,115,179,0,24,15
VT,Not in HS,2,1,0,1,0,0,0
VT,All,907,434,187,247,0,24,15
WA,9th,108,80,17,11,0,0,0
WA,10th,2499,1374,622,500,0,2,1
WA,11th,6921,2659,1360,2571,1,167,163
WA,12th,8018,2792,1263,3659,16,211,77
WA,Not in HS,6,3,2,1,0,0,0
WA,Not yet in 9th,1,1,0,0,0,0,0
WA,All,17553,6909,3264,6742,17,380,241
WI,9th,19,16,2,1,0,0,0
WI,10th,817,590,154,73,0,0,0
WI,11th,5114,2571,1216,1291,0,15,21
WI,12th,7798,3230,1475,2894,3,121,75
WI,Not in HS,2,0,1,1,0,0,0
WI,Not yet in 9th,1,1,0,0,0,0,0
WI,All,13751,6408,2848,4260,3,136,96
WV,9th,3,3,0,0,0,0,0
WV,10th,100,63,20,14,0,0,3
WV,11th,457,220,107,126,0,2,2
WV,12th,658,316,127,207,0,4,4
WV,All,1218,602,254,347,0,6,9
WV,10th,21,14,4,3,0,0,0
WV,11th,180,93,48,38,0,0,1
WV,12th,293,113,56,98,0,19,7
WV,All,494,220,108,139,0,19,8
