COUNTY_NAME,SCHOOL_NAME,Asian,Asian,Asian,Black,Black,Black,Hispanic,Hispanic,Hispanic,Multiracial,Multiracial,Multiracial,White,White,White,Paid meals,Paid meals,Paid meals,Free/Reduced price meals,Free/Reduced price meals,Free/Reduced price meals
Name,Name,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM,NUMBER_STUDENTS_TOTAL,NUMBER_STUDENTS_PASSED_AN_EXAM,NUMBER_STUDENTS_WHO_TOOK_EXAM
Adams,Adams Central Community Schools,,,,,,,***,***,***,***,***,***,72,29,45,66,24,38,10,4,6
Adams,North Adams Community Schools,***,***,***,***,***,***,14,2,4,***,***,***,126,17,29,107,14,28,44,4,5
Adams,South Adams Schools,***,***,***,***,***,***,***,***,***,***,***,***,71,11,13,60,12,13,23,0,1
Allen,MSD Southwest Allen County Schls,32,19,22,35,5,6,54,5,7,26,7,10,464,131,180,535,155,208,75,7,10
Allen,Northwest Allen County Schools,26,14,17,10,4,5,30,8,14,17,5,7,467,170,243,477,174,248,72,18,27
Allen,Fort Wayne Community Schools,138,12,26,382,5,43,312,9,32,140,6,19,688,92,170,780,86,177,882,31,89
Allen,East Allen County Schools,88,1,5,80,0,2,51,2,5,25,2,6,495,42,100,461,37,97,267,1,5
Batholomew,Bartholomew Con School Corp,39,29,36,17,3,4,127,11,28,22,2,3,586,132,230,589,162,264,204,10,27
Batholomew,Flat Rock-Hawcreek School Corp,,,,,,,***,***,***,***,***,***,65,11,16,54,9,13,14,1,3
Benton,Benton Community School Corp,,,,***,***,***,10,2,2,***,***,***,116,28,53,95,27,50,35,3,6
Blackford,Blackford County Schools,***,***,***,,,,***,***,***,***,***,***,98,0,0,64,0,0,42,0,0
Boone,Western Boone Co Com Sch Dist,***,***,***,,,,***,***,***,,,,109,33,51,85,29,44,28,6,9
Boone,Zionsville Community Schools,25,19,24,14,1,4,26,11,12,26,16,17,453,224,331,515,263,374,31,5,7
Boone,Lebanon Community School Corp,***,***,***,***,***,***,17,2,2,***,***,***,187,31,52,162,28,44,54,5,9
Brown,Brown County School Corporation,,,,,,,***,***,***,***,***,***,111,18,44,83,14,31,33,4,10
Carroll,Carroll Consolidated School Corp,,,,,,,***,***,***,,,,62,9,21,49,5,12,13,4,6
Carroll,Delphi Community School Corp,,,,***,***,***,11,0,1,***,***,***,83,12,28,56,8,24,41,4,5
Cass,Pioneer Regional School Corp,***,***,***,,,,***,***,***,***,***,***,67,9,14,41,8,12,33,3,5
Cass,Lewis Cass Schools ,***,***,***,,,,***,***,***,***,***,***,76,9,22,58,8,19,27,2,5
Cass,Logansport Community Sch Corp,***,***,***,***,***,***,122,8,13,***,***,***,119,10,18,137,11,20,126,9,12
Clark,Borden-Henryville School Corporation,***,***,***,***,***,***,***,***,***,***,***,***,99,1,9,87,1,9,20,0,0
Clark,Silver Creek School Corporation,***,***,***,***,***,***,16,0,3,***,***,***,148,29,67,145,24,63,31,3,8
Clark,Clarksville Community School Corp,***,***,***,17,0,0,20,0,0,12,0,0,132,0,0,123,0,0,57,0,0
Clark,Greater Clark County Schools,***,***,***,105,4,21,89,5,16,43,2,5,410,51,132,370,53,132,288,11,37
Clay,Clay Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,228,11,33,175,11,31,64,1,3
Clinton,Clinton Central School Corporation,,,,,,,***,***,***,,,,60,5,13,49,2,9,14,0,2
Clinton,Clinton Prairie School Corporation,,,,,,,***,***,***,***,***,***,74,9,24,47,8,19,36,1,6
Clinton,Community Schools of Frankfort,,,,,,,109,1,22,***,***,***,96,7,33,76,4,20,132,3,28
Clinton,Rossville Con School District,,,,,,,***,***,***,***,***,***,70,6,38,64,6,37,***,***,***
Crawford,Crawford County Community Sch Corp,,,,,,,***,***,***,***,***,***,74,11,44,41,8,29,37,3,14
Daviess,Barr-Reeve Community Schools Inc,,,,,,,***,***,***,,,,55,7,10,45,4,6,11,3,3
Daviess,North Daviess Com Schools,,,,***,***,***,,,,***,***,***,53,0,0,39,0,1,17,0,0
Daviess,Washington Community Schools,***,***,***,***,***,***,35,1,5,***,***,***,100,22,41,73,19,34,70,7,14
Dearborn,Sunman-Dearborn Com Sch Corp,***,***,***,***,***,***,***,***,***,***,***,***,271,49,63,250,45,61,40,2,2
Dearborn,South Dearborn Community Sch Corp,,,,,,,***,***,***,***,***,***,136,0,0,107,0,0,33,0,0
Dearborn,Lawrenceburg Community School Corp,***,***,***,***,***,***,***,***,***,12,0,0,154,6,14,126,6,13,49,0,1
Decatur,Decatur County Community Schools,,,,,,,***,***,***,***,***,***,130,23,54,87,17,40,47,5,14
Decatur,Greensburg Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,158,16,30,121,15,29,46,2,3
DeKalb,DeKalb Co Eastern Com Sch Dist,,,,***,***,***,***,***,***,,,,81,0,0,64,0,0,20,0,0
DeKalb,Garrett-Keyser-Butler Com Sch Corp,,,,***,***,***,***,***,***,***,***,***,133,0,0,100,0,0,49,1,1
DeKalb,DeKalb Co Ctl United Sch Dist,***,***,***,***,***,***,11,3,5,***,***,***,205,55,85,166,53,80,57,3,8
Delaware,Delaware Community School Corp,***,***,***,***,***,***,***,***,***,***,***,***,183,0,0,134,0,0,53,0,0
Delaware,Wes-Del Community Schools,***,***,***,,,,***,***,***,***,***,***,69,5,9,44,4,7,34,1,2
Delaware,Liberty-Perry Community Sch Corp,***,***,***,***,***,***,,,,***,***,***,75,3,29,50,4,20,31,0,8
Delaware,Cowan Community School Corp,***,***,***,,,,***,***,***,***,***,***,51,4,12,36,5,10,22,0,1
Delaware,Yorktown Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,145,51,94,130,45,86,43,8,19
Delaware,Daleville Community Schools,,,,,,,***,***,***,***,***,***,53,5,7,39,5,6,18,0,1
Delaware,Muncie Community Schools,***,***,***,55,3,9,16,2,3,30,3,4,147,28,39,107,25,37,141,8,13
Dubois,Northeast Dubois Co Sch Corp,,,,,,,,,,***,***,***,68,10,27,58,8,24,11,1,2
Dubois,Southeast Dubois Co Sch Corp,,,,,,,***,***,***,***,***,***,93,8,21,87,7,19,13,1,1
Dubois,Southwest Dubois Co Sch Corp,,,,,,,21,1,2,***,***,***,75,8,18,67,9,19,30,0,1
Dubois,Greater Jasper Consolidated Schs,***,***,***,,,,41,3,10,***,***,***,207,68,114,196,65,110,58,7,14
Elkhart,Fairfield Community Schools,***,***,***,***,***,***,***,***,***,***,***,***,102,15,37,87,16,36,29,1,6
Elkhart,Baugo Community Schools,***,***,***,***,***,***,10,1,5,11,0,5,108,10,58,97,10,49,37,0,15
