County,State_Abbreviation,Year,PassRate,Income,County_State,GEOID,geometry
Haralson,GA,2019,,38099,"Haralson, GA",13143,"POLYGON ((-85.38651002496731 33.901718559000095, -85.212791 33.899212, -85.212774 33.906302, -85.05031 33.904488, -85.036684 33.904326999999995, -85.037674 33.829026999999996, -85.037926 33.811942, -85.049031 33.812322, -85.04959099999999 33.779959999999996, -85.050889 33.714632, -85.106786 33.694611, -85.129688 33.691423, -85.139027 33.700016999999995, -85.28974199999999 33.652087, -85.33824506153 33.65311401873009, -85.35744299999999 33.750102999999996, -85.36053199999999 33.767956999999996, -85.361885 33.77395, -85.37643978043509 33.8506487133064, -85.37746399999999 33.856046, -85.38651002496731 33.901718559000095))"
Haralson,GA,2020,,40931,"Haralson, GA",13143,"POLYGON ((-85.38651002496731 33.901718559000095, -85.212791 33.899212, -85.212774 33.906302, -85.05031 33.904488, -85.036684 33.904326999999995, -85.037674 33.829026999999996, -85.037926 33.811942, -85.049031 33.812322, -85.04959099999999 33.779959999999996, -85.050889 33.714632, -85.106786 33.694611, -85.129688 33.691423, -85.139027 33.700016999999995, -85.28974199999999 33.652087, -85.33824506153 33.65311401873009, -85.35744299999999 33.750102999999996, -85.36053199999999 33.767956999999996, -85.361885 33.77395, -85.37643978043509 33.8506487133064, -85.37746399999999 33.856046, -85.38651002496731 33.901718559000095))"
Haralson,GA,2021,33.33333333333333,44439,"Haralson, GA",13143,"POLYGON ((-85.38651002496731 33.901718559000095, -85.212791 33.899212, -85.212774 33.906302, -85.05031 33.904488, -85.036684 33.904326999999995, -85.037674 33.829026999999996, -85.037926 33.811942, -85.049031 33.812322, -85.04959099999999 33.779959999999996, -85.050889 33.714632, -85.106786 33.694611, -85.129688 33.691423, -85.139027 33.700016999999995, -85.28974199999999 33.652087, -85.33824506153 33.65311401873009, -85.35744299999999 33.750102999999996, -85.36053199999999 33.767956999999996, -85.361885 33.77395, -85.37643978043509 33.8506487133064, -85.37746399999999 33.856046, -85.38651002496731 33.901718559000095))"
Haralson,GA,2022,72.72727272727273,45136,"Haralson, GA",13143,"POLYGON ((-85.38651002496731 33.901718559000095, -85.212791 33.899212, -85.212774 33.906302, -85.05031 33.904488, -85.036684 33.904326999999995, -85.037674 33.829026999999996, -85.037926 33.811942, -85.049031 33.812322, -85.04959099999999 33.779959999999996, -85.050889 33.714632, -85.106786 33.694611, -85.129688 33.691423, -85.139027 33.700016999999995, -85.28974199999999 33.652087, -85.33824506153 33.65311401873009, -85.35744299999999 33.750102999999996, -85.36053199999999 33.767956999999996, -85.361885 33.77395, -85.37643978043509 33.8506487133064, -85.37746399999999 33.856046, -85.38651002496731 33.901718559000095))"
Kewaunee,WI,2019,61.29032258064516,48131,"Kewaunee, WI",55061,"POLYGON ((-87.765316 44.414502999999996, -87.762376099947 44.644501238507296, -87.756031 44.649128999999995, -87.75089899999999 44.656192, -87.748409 44.667122, -87.7360584417798 44.6770254546693, -87.37325833223939 44.675540674647195, -87.39352099999999 44.640654999999995, -87.401629 44.631191, -87.40540999999999 44.627190999999996, -87.41802799999999 44.62087, -87.43749299999999 44.605070999999995, -87.446963 44.586273999999996, -87.468093 44.551925, -87.483696 44.511354, -87.483914 44.504425, -87.49002399999999 44.477224, -87.498662 44.460685999999995, -87.506362 44.423804, -87.511635 44.414043, -87.51796499999999 44.394355999999995, -87.517597 44.375696, -87.521047 44.367526, -87.533583 44.351110999999996, -87.54294984058659 44.3275124998493, -87.58336 44.327563, -87.766026 44.327183999999995, -87.765316 44.414502999999996))"
Kewaunee,WI,2020,53.02013422818792,52538,"Kewaunee, WI",55061,"POLYGON ((-87.765316 44.414502999999996, -87.762376099947 44.644501238507296, -87.756031 44.649128999999995, -87.75089899999999 44.656192, -87.748409 44.667122, -87.7360584417798 44.6770254546693, -87.37325833223939 44.675540674647195, -87.39352099999999 44.640654999999995, -87.401629 44.631191, -87.40540999999999 44.627190999999996, -87.41802799999999 44.62087, -87.43749299999999 44.605070999999995, -87.446963 44.586273999999996, -87.468093 44.551925, -87.483696 44.511354, -87.483914 44.504425, -87.49002399999999 44.477224, -87.498662 44.460685999999995, -87.506362 44.423804, -87.511635 44.414043, -87.51796499999999 44.394355999999995, -87.517597 44.375696, -87.521047 44.367526, -87.533583 44.351110999999996, -87.54294984058659 44.3275124998493, -87.58336 44.327563, -87.766026 44.327183999999995, -87.765316 44.414502999999996))"
Kewaunee,WI,2021,75.78125,56598,"Kewaunee, WI",55061,"POLYGON ((-87.765316 44.414502999999996, -87.762376099947 44.644501238507296, -87.756031 44.649128999999995, -87.75089899999999 44.656192, -87.748409 44.667122, -87.7360584417798 44.6770254546693, -87.37325833223939 44.675540674647195, -87.39352099999999 44.640654999999995, -87.401629 44.631191, -87.40540999999999 44.627190999999996, -87.41802799999999 44.62087, -87.43749299999999 44.605070999999995, -87.446963 44.586273999999996, -87.468093 44.551925, -87.483696 44.511354, -87.483914 44.504425, -87.49002399999999 44.477224, -87.498662 44.460685999999995, -87.506362 44.423804, -87.511635 44.414043, -87.51796499999999 44.394355999999995, -87.517597 44.375696, -87.521047 44.367526, -87.533583 44.351110999999996, -87.54294984058659 44.3275124998493, -87.58336 44.327563, -87.766026 44.327183999999995, -87.765316 44.414502999999996))"
Kewaunee,WI,2022,59.55882352941177,57770,"Kewaunee, WI",55061,"POLYGON ((-87.765316 44.414502999999996, -87.762376099947 44.644501238507296, -87.756031 44.649128999999995, -87.75089899999999 44.656192, -87.748409 44.667122, -87.7360584417798 44.6770254546693, -87.37325833223939 44.675540674647195, -87.39352099999999 44.640654999999995, -87.401629 44.631191, -87.40540999999999 44.627190999999996, -87.41802799999999 44.62087, -87.43749299999999 44.605070999999995, -87.446963 44.586273999999996, -87.468093 44.551925, -87.483696 44.511354, -87.483914 44.504425, -87.49002399999999 44.477224, -87.498662 44.460685999999995, -87.506362 44.423804, -87.511635 44.414043, -87.51796499999999 44.394355999999995, -87.517597 44.375696, -87.521047 44.367526, -87.533583 44.351110999999996, -87.54294984058659 44.3275124998493, -87.58336 44.327563, -87.766026 44.327183999999995, -87.765316 44.414502999999996))"
Marathon,WI,2019,65.34267912772586,51696,"Marathon, WI",55073,"POLYGON ((-90.316574 44.953278, -90.315038 45.033829, -90.197516 45.03364, -90.19776499999999 45.120604, -90.043685 45.120214, -89.964494 45.120162, -89.72683599999999 45.119966, -89.49202299999999 45.119451, -89.42597099999999 45.119098, -89.22421399999999 45.118567, -89.22381399999999 45.029246, -89.22345 44.942853, -89.224008 44.856265, -89.223745 44.681365, -89.345917 44.68138, -89.489905 44.685846999999995, -89.844931 44.684945, -89.964013 44.684829, -90.079442 44.685167, -90.139696 44.685179999999995, -90.31625299999999 44.685154, -90.316574 44.953278))"
Marathon,WI,2020,58.15831987075929,54405,"Marathon, WI",55073,"POLYGON ((-90.316574 44.953278, -90.315038 45.033829, -90.197516 45.03364, -90.19776499999999 45.120604, -90.043685 45.120214, -89.964494 45.120162, -89.72683599999999 45.119966, -89.49202299999999 45.119451, -89.42597099999999 45.119098, -89.22421399999999 45.118567, -89.22381399999999 45.029246, -89.22345 44.942853, -89.224008 44.856265, -89.223745 44.681365, -89.345917 44.68138, -89.489905 44.685846999999995, -89.844931 44.684945, -89.964013 44.684829, -90.079442 44.685167, -90.139696 44.685179999999995, -90.31625299999999 44.685154, -90.316574 44.953278))"
